4b1e1d4fb336d2a84dbec7dc81ac931a82c78184aa4d47ff75c415625e0fae58,b13a22cdb8cca20d7af18d90b1978041cef98737469f402a719eeb346fa2711f,bd3c0e015935237d7e5df419acfa6377f2e5bb872d98d8e744e1fc68da435bc3,620954ad323591072c7ec4afc9077868a0eb3f5f9770e06aea47f9babc8d8b83,42055b8bd372d9716fb146177d878dfbe4da392685129929b72b715d7674369a,26d04b00757783474da24186e40a8efb163552c065dd6d7784a259a4a6fdd0cf,d3a1664a00d2a1758d02afb7c3dea0f4716c163a57ce454c80960f0f248c77a6,b05464fa6bf1a1976a1fd28dd5018448bd407e34328fa0a67b5491876533c0d3,a00756db439d890d1c2e1ccd217f4ce0fc62ccdf8f3fc210e272bce9fa35533e,582dd3d3971780af2876fec3bd2236093ba56b8bfe22d1ead0ab6267e2649349,c79c7cc73ba77e5b1f706161724f5953afcb1071d56b91b18fdb8142f90cda83
"50018","10001","10002","10003","0","0","0","0","0","0","0"
"50023","10001","10002","10003","0","0","0","0","0","0","0"
"50027","10001","10002","10003","0","0","0","0","0","0","0"
"50033","10001","10002","10003","0","0","0","0","0","0","0"
"50047","10001","10002","10003","0","0","0","0","0","0","0"
"50051","10001","10002","10003","0","0","0","0","0","0","0"
"50061","10001","10002","10003","10004","0","0","0","0","0","0"
"50067","10001","10002","10003","10005","0","0","0","0","0","0"
"50079","10001","10002","10003","10005","10006","0","0","0","0","0"
"50084","10001","10002","10003","10005","10006","10007","0","0","0","0"
"50094","10001","10002","10003","10005","10006","10007","10008","0","0","0"
"50108","10001","10002","10003","10005","10006","10007","10008","10009","0","0"
"50116","10001","10002","10003","10005","10006","10007","10008","10009","0","0"
"50119","10001","10002","10003","10005","10006","10007","10008","10009","10010","0"
"50129","10001","10002","10003","10005","10006","10007","10008","10009","10010","0"
"50140","10001","10002","10003","10005","10006","10007","10008","10009","10010","10011"
"50151","10002","10003","10005","10006","10007","10008","10009","10010","10011","10012"
"50162","10009","10010","10011","10012","10013","0","0","0","0","0"
"50172","10010","10011","10012","10013","10014","0","0","0","0","0"
"50183","10011","10012","10013","10014","10015","0","0","0","0","0"
"50190","10013","10014","10015","10007","10005","0","0","0","0","0"
"50195","10012","10013","10014","10015","10016","0","0","0","0","0"
"50200","10014","10015","10016","10003","10002","0","0","0","0","0"
"50217","10013","10014","10015","10016","10017","0","0","0","0","0"
"50231","10015","10016","10017","10010","10009","0","0","0","0","0"
"50237","10014","10015","10016","10017","10018","0","0","0","0","0"
"50248","10019","0","0","0","0","0","0","0","0","0"
"50261","10011","0","0","0","0","0","0","0","0","0"
"50267","10020","0","0","0","0","0","0","0","0","0"
"50278","10021","0","0","0","0","0","0","0","0","0"
"50291","10006","0","0","0","0","0","0","0","0","0"
"50298","10022","0","0","0","0","0","0","0","0","0"
"50309","10023","0","0","0","0","0","0","0","0","0"
