5db4b72d2b761c0d7071c30a56b7c521889a9ee90ce0019fa6e7a5764377ce4f,da8c8a1177352949fdcc64f6a883e11f380eccb47c3922cff8b5b38212dbad7c,8f526e69885cb89f86cd794285d49185558579b1a60098516e0fcdb6826ce5c8,6cef5f4f76fa6e6878d100724a0fa98a3d60894dc6e0dfdbe9d63a7c145a7271,c80a166bf579b03cbf242430d3e7c5e09fbf324ba5536580386312452a08145c,9fec730cedf1fffedb5c1de5e02b72fb0f6b3a8edad9f6ab89868b5c869904fc,6e3f03c80ed99c45b2f92aa0504c291aaf26a93f9e18f217893a61a20586e288,2479ee29a87aa1a46657d26aaac31007018239a4a68cd790d5740b2dae6bac7e,70e2260c3d045502b86d3809d68dabaf92cb7806f571f55a9ff1ecb8ab4efaa3,dad55d6aee26536c870ddc19acbc732f0a8039af9c1aada7ab3fde75df5d90b0,f59d9e681684c2e337364313f6fbb7a4acbf10386caa0265407ed596f6c82a3f,e2620fdd5dbd2e7c5506e87da1961c71fadf0de0fa1fe74eb532676b992547a7,d8fee097777d41ee3318190582d935ebcbe39969146b6951b820c39101f1fb56,cbb5c75bf98c7b37c9640e12e234100381e8732d7787b035ee8843af25bb5d5b,f4e9720493eda0762e1eb4bbfcd7225d26c61eea5e176ca4860d68682829134b
"5118061","10118","페코린느와의 만남","푸른 하늘 아래에서 알현","플리 마켓 현장","플리 마켓을 찾은 지타가 만난 것은\n성을 몰래 빠져나온 페코린느였다.","2","0","0","7","2834","1","8","91002","40"
"5118062","10118","마호와의 만남","미래의 기공단\n마스코트?","플리 마켓 현장","지타 일행이 플리 마켓을 돌고 있는데,\n노점을 연 마호가 말을 건다.","2","0","0","7","2835","1","8","91002","40"
"5118063","10118","아키노와의 만남","아가씨의\n긴급 의뢰","랜드솔 시가지","지타가 기공단에 들어온 의뢰를 확인하고 있는데,\n 아키노가 소리 높여 웃으며 나타난다.","2","0","0","7","2837","1","8","91002","40"
"5118064","10118","쥰과의 만남","황금색 고민거리","플리 마켓 현장","지타 일행은 플리 마켓 현장에서\n살짝 곤란해 보이는 쥰을 발견한다.","2","0","0","18","4108402","1","8","91002","40"
"5118065","10118","카오리와의 만남","작열! 격투 대회!","플리 마켓 현장","플리 마켓 한편에서 열리는 격투 대회……\n그곳에는 카오리의 모습도……?","2","0","0","18","4107402","1","8","91002","40"
"5118066","10118","니논과의 만남","축제 북은 오에도의 꽃","오에도 마을","태고제를 앞둔 오에도 마을……\n지타는 곤란해 보이는 니논과 만난다.","2","1","0","16","9000227","1","8","91002","40"
"5118067","10118","스즈나와의 만남","인기인은 뒤늦게\n온다","플리 마켓 현장","비카라는 이벤트에 출연 중인 스즈나를 발견한다.\n그러나 스즈나는 어딘가 곤란해 보이는데……?","3","0","0","19","2101181","1","8","91002","40"
"5118068","10118","나나카와의 만남","무녀 meets 마법 소녀","랜드솔 시가지","비카라 일행이 마을을 산책하고 있는데, 지나가던\n나나카가 흥분한 모습으로 다가오더니……?","3","0","0","18","4109402","1","8","91002","40"
"5118069","10118","캬루＆콧코로와의 만남","생쥐 귀는 두 번 없어진다","플리 마켓 현장","생쥐 귀를 잃어버리고 절망하는 비카라. 그즈음\n캬루와 콧코로는 길에서 분실물을 줍는데……","3","0","0","18","4305402","1","8","91002","40"
"5118070","10118","유카리와의 만남","이 만남에 건배!","랜드솔 시가지","마을 외곽에서 휴식을 취하던 비카라 일행은\n한껏 흥이 오른 모습의 유카리와 만난다.","3","0","0","18","4101402","1","8","91002","40"
"5118071","10118","아오이와의 만남","음양 앙상블","랜드솔 시가지","비카라는 인파에 겁먹은 아오이가 걱정되어,\n명랑하게 말을 걸지만……","3","0","0","18","4106402","1","8","91002","40"
"5118072","10118","시노부와의 만남","운을 시험하는 열 판 승부!","플리 마켓 현장","비카라가 플리 마켓 현장을 걷고 있는데,\n점을 치고 있던 시노부가 말을 건다.","3","1","0","7","2836","1","8","91002","40"
"5118600","10118","오프닝","그녀들의 새로운 일상","0","0","1","0","10118115","0","0","0","0","0","0"
