288653801067ae614eb92e16c99a839106a0f547b9cd5a6246785bf2c7f51901,be09cb70ac5f0bc02e5c6820caf8185ff6c553989811f9eacb1cfd83a9873cca,58a4ad19c192212f85da2c0b53e79b198d827e04629d34156bce0b3ed34416fe
"106101","평상시","장비 중"
"106701","평상시","특수 스킬"
"106801","평상시","권능 해방 중"
"106901","평상시","특수 스킬"
"115801","평상시","변신 중"
"116401","평상시","특수 스킬"
"118201","평상시","특수 스킬"
"118501","평상시","특수 스킬"
"120801","평상시","초회 발동 시"
"122001","평상시","특수 스킬"
"122301","평상시","공투 중"
"122701","평상시","특수 스킬"
"123001","평상시","특수 스킬"
"125001","평상시","공투 중"
"125801","평상시","특수 스킬"
"126001","평상시","특수 스킬"
"126101","평상시","특수 스킬"
"126201","평상시","특수 스킬"
"126401","평상시","【풀 충전】 중"
"126501","평상시","특수 스킬"
"129001","평상시","특수 스킬"
