sub_story_id,original_event_id,title,read_condition_time,condition_quest_id,condition_boss_id,read_condition
"1007001","10070","그림일기 1","0","10070101","0","0"
"1007002","10070","그림일기 2","0","10070101","0","1007001"
"1007003","10070","그림일기 3","0","10070103","0","1007002"
"1007004","10070","그림일기 4","0","10070106","0","1007003"
"1007005","10070","그림일기 5","0","10070107","0","1007004"
"1007006","10070","그림일기 6","0","10070110","0","1007005"
"1007007","10070","그림일기 7","0","10070112","0","1007006"
"1007008","10070","그림일기 8","0","10070115","1007001","1007007"
"1007009","10070","에리코의 그림일기","0","10070115","1007001","1007007"
"1007010","10070","시즈루의 그림일기","0","10070115","1007001","1007007"
"1007011","10070","그림일기 1(첨삭)","2022/08/12 15:00:00","10070101","0","0"
"1007012","10070","그림일기 2(첨삭)","2022/08/12 15:00:00","10070101","0","0"
"1007013","10070","그림일기 3(첨삭)","2022/08/12 15:00:00","10070103","0","0"
"1007014","10070","그림일기 4(첨삭)","2022/08/12 15:00:00","10070106","0","0"
"1007015","10070","그림일기 5(첨삭)","2022/08/12 15:00:00","10070107","0","0"
"1007016","10070","그림일기 6(첨삭)","2022/08/12 15:00:00","10070110","0","0"
"1007017","10070","그림일기 7(첨삭)","2022/08/12 15:00:00","10070112","0","0"
"1007018","10070","그림일기 8(첨삭)","2022/08/12 15:00:00","10070115","1007001","0"
"1007019","10070","에리코의 그림일기(첨삭)","2022/08/12 15:00:00","10070115","1007001","0"
"1007020","10070","시즈루의 그림일기(첨삭)","2022/08/12 15:00:00","10070115","1007001","0"
