1467b8725a63f8ea46aaff610a1b747ea16e33baf573241e634af31e626a39b4,bf8a61b75b1854c67d8b64bcb07f0a8230ecefed6f8971af44b7aa545bfa61e4,6afa44b8ec62b387a5b8105689f1ad98e00d6739fc155cb86c04467608a1d250,59853576169859948f13916e25f36a7827437984b0fa671522aa7fc89afa3091,4746c157390541c3cde4f07ab453397895a8c2546b616391de61432a31aa175b,27ddcd3bfab85da4c731bbc978677118ca276619b12ecdf02e8eff6c67f1c493,7d59ed7295e4edc4657e88c254115650aa4720de269026d691135e924f0e3011,c85bf402e01700920782f49db7ad8bfea5a369284792789bbd82c9e0051f4023,9e0784cc3113beb8e1888f5a078d34fa843f2b4af9cf84446e933d757bcb1660,78288f1c23078cd7aeb45435d7e267e7a8ff3e13e2d29f2e6d783c39ea0dd2b7,27aca435a110e06672cd3ff6fc63be17c1594cc6c10de766a9b0a57485f05d62
"1009801001","1009801","1","1","122711","102","-200","-495","1.95","0","lsv_idle_normal"
"1009801002","1009801","1","1","122811","100","100","-480","1.95","1","lsv_idle_normal"
"1009801003","1009801","1","1","122911","101","270","-510","1.95","1","lsv_idle_normal"
"1009801004","1009801","5","1","333","0","0","0","1","0","lsv_white_loop"
"1009801005","1009801","6","333","1","1","1","0","0","0",""
"1009801006","1009801","6","122711","1","1","1","0","0","0",""
"1009801007","1009801","6","122811","1","1","1","0","0","0",""
"1009801008","1009801","6","122911","1","1","1","0","0","0",""
"1009801009","1009801","93","1","0","","","","","",""
"1009801010","1009801","6","333","1","1","1","0.4","0.8","0",""
"1009801011","1009801","3","122711","lsv_jump1","0","lsv_idle_normal","1","0.2","0.2",""
"1009801012","1009801","3","122811","lsv_jump1","0","lsv_idle_normal","1","0.2","0.2",""
"1009801013","1009801","3","122911","lsv_jump1","0","lsv_idle_normal","1","0.2","0.2",""
"1009801014","1009801","93","0.3","","","","","","",""
"1009801015","1009801","2","122711","-200","-235","0.75","0","","",""
"1009801016","1009801","2","122811","100","-220","0.75","0","","",""
"1009801017","1009801","2","122911","270","-250","0.75","0","","",""
"1009801018","1009801","6","122711","1","1","1","1","0.4","0",""
"1009801019","1009801","6","122811","1","1","1","1","0.4","0",""
"1009801020","1009801","6","122911","1","1","1","1","0.4","0",""
"1009801021","1009801","93","2","0","","","","","",""
"1009801022","1009801","3","122911","lsv_talk_joy1","1","","","0.2","",""
"1009801023","1009801","21","vo_lsv","vo_lsv_0121","0","0","","","",""
"1009801024","1009801","11","122911","『뮤뮤 무럭무럭 일기』♪\n시작 시작~","10","1","1","0","0","0"
"1009801025","1009801","91","0","","","","","","",""
"1009801026","1009801","3","122911","lsv_idle_normal_joyR","1","","","0.2","",""
"1009801027","1009801","3","122711","lsv_talk_normal","1","","","0.2","",""
"1009801028","1009801","21","vo_lsv","vo_lsv_0122","0","0","","","",""
"1009801029","1009801","11","122711","다 같이 이 일기를 써서,\n뮤뮤와의 추억을\n만들어 나가자.","10","1","1","0","0","0"
"1009801030","1009801","91","0","","","","","","",""
"1009801031","1009801","3","122711","lsv_idle_normal","1","","","0.2","",""
"1009801032","1009801","3","122911","lsv_idle_normal","1","","","0.2","",""
"1009801033","1009801","3","122811","lsv_talk_cool","0","lsv_talk_cool_loop","1","0","0.2",""
"1009801034","1009801","21","vo_lsv","vo_lsv_0123","0","0","","","",""
"1009801035","1009801","11","122811","그나저나… 쿄우카는\n일기도 성실하네~\n선생님한테 보여주는 것 같아!","10","1","1","0","0","0"
"1009801036","1009801","91","0","","","","","","",""
"1009801037","1009801","3","122811","lsv_talk_bitter","1","","","0.2","",""
"1009801038","1009801","21","vo_lsv","vo_lsv_0124","0","0","","","",""
"1009801039","1009801","11","122811","우리만 읽는 거니까\n좀 더 장난스럽게 써도\n괜찮은데~♪","10","1","1","0","0","0"
"1009801040","1009801","91","0","","","","","","",""
"1009801041","1009801","3","122811","lsv_idle_joy","1","","","0.2","",""
"1009801042","1009801","3","122711","lsv_talk_anger2","1","","","0.2","",""
"1009801043","1009801","21","vo_lsv","vo_lsv_0125","0","0","","","",""
"1009801044","1009801","11","122711","자, 장난스럽게 쓰다니…!\n나는 못 해.","10","1","1","0","0","0"
"1009801045","1009801","91","0","","","","","","",""
"1009801046","1009801","3","122711","lsv_idle_anger2","1","","","0.2","",""
"1009801047","1009801","3","122911","lsv_talk_normal","1","","","0.2","",""
"1009801048","1009801","21","vo_lsv","vo_lsv_0126","0","0","","","",""
"1009801049","1009801","11","122911","괜찮아~\n미미는 쿄우카의\n일기도 좋다고 생각하는걸♪","10","1","1","0","0","0"
"1009801050","1009801","91","0","","","","","","",""
"1009801051","1009801","3","122911","lsv_idle_normal_joyR","1","","","0.2","",""
"1009801052","1009801","3","122711","lsv_talk_guts2_anger","0","lsv_talk_guts2_anger_loop","1","0","0.2",""
"1009801053","1009801","21","vo_lsv","vo_lsv_0127","0","0","","","",""
"1009801054","1009801","11","122711","어, 어쨌든! 이 일기는\n뮤뮤에 대해 알아가기\n위해서도 쓰는 거라고?","10","1","1","0","0","0"
"1009801055","1009801","91","0","","","","","","",""
"1009801056","1009801","3","122711","lsv_talk_normal_worry","1","","","0.2","",""
"1009801057","1009801","21","vo_lsv","vo_lsv_0128","0","0","","","",""
"1009801058","1009801","11","122711","어떤 생물인지 모르면\n키우는 것도 큰일이고…\n그 사실, 잊지 않도록 해?","10","1","1","0","0","0"
"1009801059","1009801","91","0","","","","","","",""
"1009801060","1009801","3","122711","lsv_idle_normal","1","","","0.2","",""
"1009801061","1009801","3","122811","lsv_hello","0","lsv_idle_normal","1","0","0.2",""
"1009801062","1009801","3","122911","lsv_hello","0","lsv_idle_normal_joyR","1","0","0.2",""
"1009801063","1009801","21","vo_lsv","vo_lsv_0129","0","0","","","",""
"1009801064","1009801","11","122811","네~에!","10","1","1","0","0","0"
"1009801065","1009801","11","122911","네~에!","10","1","1","0","0","0"
"1009801066","1009801","91","0","","","","","","",""
"1009801067","1009801","3","122711","lsv_idle_normal","1","","","0.2","",""
"1009801068","1009801","3","122911","lsv_talk_surprise","1","","","0.2","",""
"1009801069","1009801","21","vo_lsv","vo_lsv_0130","0","0","","","",""
"1009801070","1009801","11","122911","뮤뮤는 신기하지~\n처음 만났을 때는\n깜짝 놀랐어!","10","1","1","0","0","0"
"1009801071","1009801","91","0","","","","","","",""
"1009801072","1009801","3","122911","lsv_idle_normal_suprise1","1","","","0.2","",""
"1009801073","1009801","3","122811","lsv_talk_cool","0","lsv_talk_cool_loop","1","0","0.2",""
"1009801074","1009801","21","vo_lsv","vo_lsv_0131","0","0","","","",""
"1009801075","1009801","11","122811","알도 돌 같았고!\n저기, 오빠는\n어떤 생물이라고 생각해?","10","1","1","0","0","0"
"1009801076","1009801","91","0","","","","","","",""
"1009801077","1009801","3","122711","lsv_choice","0","lsv_look_idle_normal","1","0","0.2",""
"1009801078","1009801","3","122811","lsv_choice","0","lsv_look_idle_normal","1","0","0.2",""
"1009801079","1009801","3","122911","lsv_choice","0","lsv_look_idle_normal","1","0","0.2",""
"1009801080","1009801","93","0.1","0","","","","","",""
"1009801081","1009801","2","122711","-452","-235","0.33","2","","0.2",""
"1009801082","1009801","2","122811","420","-220","0.33","2","","0.2",""
"1009801083","1009801","2","122911","545","-250","0.33","2","","0.2",""
"1009801084","1009801","22","0","0","1","","","0.2","",""
"1009801085","1009801","103","괴수의 아기","1009801088","0","","","","",""
"1009801086","1009801","103","큰 민달팽이","1009801102","0","","","","",""
"1009801087","1009801","103","독이 있는 생물","1009801115","0","","","","",""
