28b104a2dc00222a054edda5e4217df60db1516e409c66ac4c3e4b09c66b0fbc,15ca81fecbcc7cff5ed4430c3f42b535e07f0b656f84603e24f0b21b0c5c71b3
"401702101","3000003"
"401702102","3000004"
"401702103","3000002"
"401702104","3000006"
"401702105","2000003"
"401702201","3000003"
"401702202","3000004"
"401702203","3000002"
"401702204","3000006"
"401702205","2000003"
"401702301","3000003"
"401702302","3000004"
"401702303","3000002"
"401702304","3000006"
"401702305","2000003"
"401702401","3000003"
"401702402","3000004"
"401702403","3000002"
"401702404","3000006"
"401702405","2000003"
"401702501","3000003"
"401702502","3000004"
"401702503","3000002"
"401702504","3000006"
"401702505","2000003"
"401702601","3000003"
"401702602","3000004"
"401702603","3000002"
"401702604","3000006"
"401702605","2000003"
"401702701","3000003"
"401702702","3000004"
"401702703","3000002"
"401702704","3000006"
"401702705","2000003"
