5656c95133eb5e2f398cac7b136833e71f727a48d927651c1534e8379d3e63b2,71fdce438165bfe72c77085c716874cb831b2956d4180209ae04cb9087d185ce,27fde14255e066c172440272755ae10221e5440de3a7feb2b7fab4b2a76d9f0e,2ae8077fff38f05094ea1c277b4ed0b7caf1c33fb7348645e2703bae19c187e5,67e54924ac95b5b80d303612c257a318970c6d90703449ead70b99a24f8486d0,c941b7493f6b3055a627e711f8319c20343644e71925f7bf73d833a945be0c7b,8d0583f72e605952b49e69d5a563e97d000f8dbc4dfcda58ba59f1599c7151e1
"10","107601","20004","72004021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"12","108001","20005","72005021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"15","108201","20007","72007021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"17","108501","20009","72009021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"19","108901","20010","72010021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"21","109001","20011","72011021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"22","109301","20013","72013021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"23","110101","20015","72015021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"24","110501","20016","72016021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"25","111201","20018","72018021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"26","111601","20020","72020021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"27","112101","20021","72021021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"28","112301","20022","72022021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"29","113001","20025","72025021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"30","113201","20026","72026021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
"31","113501","20027","72027021","보스 NORMAL 토벌로 오픈!","[3C404E]이벤트를 진행하여 보스에 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]","[3C404E]보스 NORMAL 토벌로 오픈!"
