de7650f3878f330128244ec81157161f06100c63eeb5947d6a020bed28b7e865,6744b1b3537da969f13c8e212340adf46f4321211042ae2a961fc51962069d1c,43f5b20a88b0b82b09bafb914fb5958415c671689d4048b112b46beeec934161,9fba3ea6b8d23eee9fccbf666bb3f3ccdfba1f0fd130ea040040e77c8b7e1419,ea2dda6067322476d4cbc08075ed668d5f4fa454ece782c03d8de7bfb3ee990a,672fcb30b05f88d8a1e79ec4cc50aed61e906059612a218904f8588178fc88eb,c2461d697c678047bf697cde021e4b25e0a4c4e7af74b3c51ea003b56003e27d,09aa6b552d46a62e74ce6b03912fdd5b3225a37f62ea4f7d5d998b70c682abd1,25b9d4330949e31fd10afaa2aee40258616d742509ecc7e3221f768c64d91664,8248e5d00724052bb25c9b31dafb1c1dd74c2705e0343c3afd2d77d6734a7ffb
"2110001","버그","0","버크","0","허그","0","퍼그","0","1"
"2110003","테크놀로지","0","테크닉","0","테이크","0","테이큰","0","1"
"2110005","눈사태","0","눈보라","0","땅울림","0","동상","0","1"
"2110006","자석","0","화석","0","흑요석","0","대리석","0","1"
"2110007","오션","0","리버","0","걸프","0","미스트","0","1"
"2110008","앳 사인","0","랫 사인","0","배드 사인","0","커트 사인","0","1"
"2110010","햇볕이 닿는 곳","0","햇볕이 닿지 않는 곳","0","항상 시원한 곳","0","건물 안","0","1"
"2110011","업데이트","0","더블 데이트","0","해피 데이트","0","발렌타인 데이트","0","1"
"2110012","블리자드","0","불도저","0","오브리가도","0","바리케이드","0","1"
"2110014","태양","0","달","0","지구","0","화성","0","1"
"2110016","지평선","0","포물선","0","전화선","0","경춘선","0","1"
"2110018","흑역사","0","백역사","0","적역사","0","청역사","0","1"
"2110019","간장","0","미림","0","식초","0","된장","0","1"
"2110021","발목","0","손목","0","목","0","생목","0","1"
"2110022","영락없다","0","연락없다","0","어처구니없다","0","어이없다","0","1"
"2110023","드레스 코드","0","프레스 코드","0","바코드","0","인코드","0","1"
