d6b5352a2780d85233a5077f80b0d680d2d2f1a357efe1dc7482fe9783e009a1,e11c46da2b701622247a88c464406d7dea16f7c33f10ed7777453750fcf28d08,11bd2a2ab3c86d949d08365355a18e2e5879192abc3d8e3b4710b2777b2bea35,4025c6bb490dd1972d5c02f1e7519ea85f707674221157b392f9801488eaa2fc,5195ac15af4c70320212cb54b7d96222e6fb143cbaecc475d8bca57d91de6bc6,d94b8f7686ff5f35e811b7de6b790fefc57642433ffd3f960d57679d95f94d19,b9f2eea27e3403851e047b3daf79ee3f521e7fad24c03cc26bc10174e7c13675,154c6dbd7e66fbe66b63a96d678a3385eed44d31d5bfeaa7ad967e3c21162ec9,27105fcf273436f4bee6f809e77dc23888d443420eb2317f10c1c1a3d562c310,fc50548bc2fcced55431069f851cf87a22e8c62efa1e68777eed4c1ebf726c88,53bc1c5c3541ee1ac30eab03ac05286648f2ca9c6cafd7b339206f61b19b3b82,5d8699d1342354ab61dd52fea0e733f7606f42ea63dcb22b5b30613288a29d64,71091ddf88bef34fc99e4fa317b5aef3b993dfe34688b3635897efbec1ccb339,7a1e41d5fbe0334160af24e520e7e6f278e165a48c884a705def6d5a91e6c0d1,1517032ba970914635d89e4f535e58722fc2f6e4a703ff1e2f80522368b314fe,4c3598ea10d494264f8b368b111ac7fe7d91e13385910a16a387111c2ebde72a,a576a34791314538d9d04f314157c7274df05c8840907b7a19c482d5726e3b5c,3ecf447580deafaef78e6dc29fc805c840e4ea61c6531b4f0ca311ae32ae799b,e3475f4ec3ca440809dd85af45b884e35a86e093cd7c40861a33d669c838a591,971bfeaacd4324b1d2bb838f4bde803549159e70c84265a01a778eccb652e7c5,0f11095a1814692af194ad1df3c688cf32e5b3375c93b4883da0f3587120e583,4591b38ac58ee152ad0a6476c809d01bd68d952c202cc50aedcd9a2d691475be,2da93eedb2681092cfb47ed47eb4d2445cdcbe22ec7c27811a5e40bb13f8de8d,a7bc120aa3113d90d971247b8eddc5ab7a74943478df345644ebe1926092d237
"100101","히요리","히요리","100101","0","0","1","1","1","450","200","1","2.295","100101","0","100101","0","7","0","【물리】전열에서 적의 전선을 공격하는 웃는 얼굴의 활기찬 소녀.\n전열에 큰 데미지를 입히는 유니온 버스트와\n자신의 공격력을 강화하는 스킬을 가진 공격 타입.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
"100201","유이","유이","100201","0","0","1","7","7","450","800","2","2.27","100201","0","100201","0","7","0","【마법】최후열에서 아군의 회복과 보조를 담당하는 마법사.\n물리 방어력은 약하지만 높은 마법 공격력을 가졌고 랭크를 올리면\n공격도 보조도 밸런스 좋게 소화할 수 있게 된다.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
"100301","레이","레이","100301","0","0","1","4","4","450","250","1","1.965","100301","0","100301","0","7","0","【물리】전열에서 일점 돌파로 적을 쓰러뜨리는 고고한 검사.\n유니온 버스트와 스킬 모두 적을 쓰러뜨리기에 적합.\n공격 스킬이나 카운터를 구사하여 전선에 힘을 실어준다.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
"100401","미소기","미소기","100401","0","0","1","1","1","450","205","1","2.17","100401","0","100401","0","13","0","【물리】최전열에서 적의 물리 공격을 방해하는 개구쟁이 소녀.\n눈앞의 적을 암흑 상태로 만들어 명중률을 큰 폭으로 낮추는 한 편\n적 하나의 물리 공격력을 낮추는 스킬을 가지고 있다.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
"100501","마츠리","마츠리","100501","0","0","2","2","2","450","185","1","2.125","100501","0","100501","0","2","0","【물리】전열에서 기민한 움직임으로 적을 혼란시키는 견습 기사.\n유니온 버스트로 상대의 진형 한가운데에 뛰어들어\n자신의 주변에 있는 상대에게 공격을 퍼붓는다.","0","2018/09/18 15:00:00","2030/12/31 15:00:00","0"
"100601","아카리","아카리","100601","0","0","2","6","6","450","570","2","2.19","100601","0","100601","0","14","0","【마법】중열에서 마법 파티의 강화를 담당하는 쌍둥이 여동생.\n적의 마법 방어력을 큰 폭으로 낮추는 스킬이나 마법 공격력을\n상승시켜 회복 효과를 부여하는 유니온 버스트를 사용한다.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
"100701","미야코","미야코","100701","0","0","2","3","3","450","125","1","1.7","100701","0","100701","0","14","0","【물리】최전열에서 적의 공격을 끊임없이 피하는 유령 소녀.\n유령으로 변신하는 스킬로 적의 공격을 피하고\n유니온 버스트를 통해 적을 푸딩으로 만들어 먹어버린다.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
"100801","유키","유키","100801","0","0","2","21","7","450","805","2","2.07","100801","0","100801","0","12","0","【마법】후열에서 물리 공격 파티를 보조하는 걸어 다니는 예술 작품.\n아군의 유니온 버스트 발동을 촉진하는 스킬 외에도\n적을 암흑 상태로 만드는 스킬로 물리 공격을 막는다.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
"100901","안나","안나","100901","0","0","3","5","5","450","440","2","2.25","100901","0","100901","0","11","0","【마법】중열에서 압도적인 마력으로 공격하는 질풍의 명희.\n유니온 버스트로 적 전체에 큰 데미지를 줄 수 있지만\n마력 소비가 심해 자기자신도 큰 리스크를 얻는다.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
"101001","마호","마호","101001","0","0","3","7","7","450","795","2","2.27","101001","0","101001","0","4","0","【마법】후열에서 아군의 서포트를 담당하는 메르헨 소녀.\n아군 전체를 강화하여 TP를 회복하는 유니온 버스트나\nHP 회복, 적을 암흑에 빠지게 하는 스킬로 전황을 호전시킨다.","0","2015/04/01 15:00:00","2030/12/31 15:00:00","0"
