072bda71fa2d80ba7db4d1c4dc20218e298077448583aa98284043fa1dd4bfff,900dcd384bc1ad30dc651b5c7cbe02c3b60e806dbbdc2c0b36e2cafbeac7479e,9558dee5aaf878d987da85146ee850f2ab83f408b6bebd48b449736b957e8865,834b9f74d602abb10a671f6091d4ef19507e374b5fdb652a6f27776da5e46061,16d8eb25e1a5f04f83a5dc4eeb9af8dfd088c521b215734061da5c5945ed66af
"10001","10","100","391","30"
"10002","10","100","408","35"
"10003","10","101","594","38"
"10004","10","100","495","42"
"10005","10","100","835","47"
"10006","10","100","215","50"
"10007","10","100","507","54"
"10008","10","101","652","58"
"10009","10","100","978","62"
"10010","10","100","649","67"
"10011","10","100","513","71"
"10012","10","100","611","74"
"10013","10","101","273","77"
"10014","10","100","743","80"
"10015","10","101","588","84"
"10016","10","100","817","87"
"10017","10","100","1064","91"
"10018","10","100","444","96"
"10019","10","100","363","100"
"10020","10","100","351","105"
"10021","10","101","180","109"
"10022","10","100","636","113"
"10023","10","100","268","118"
"10024","10","100","702","122"
"10025","10","101","436","127"
"10026","10","100","1052","131"
"10027","10","100","574","136"
"10028","10","100","228","140"
"10029","10","101","821","144"
"10030","10","100","897","148"
"10031","10","100","737","151"
"10032","10","100","939","155"
"10033","10","100","194","159"
"10034","10","101","970","164"
"10035","10","100","243","169"
"10036","10","100","1149","174"
"10037","10","100","475","178"
"10038","10","100","372","182"
"10039","10","100","852","185"
"10040","10","100","455","188"
"10041","10","101","556","192"
"10042","10","100","343","197"
"10043","10","100","268","201"
"10044","10","100","208","205"
"10045","10","100","157","208"
"10046","10","101","458","211"
"10047","10","100","640","216"
"10048","10","400","673","221"
"10049","10","100","260","225"
"10050","10","100","562","230"
"10051","10","101","896","234"
"10052","10","100","903","239"
"10053","10","100","479","244"
"10054","10","100","1084","247"
"10055","10","101","895","252"
"10056","10","100","306","257"
"10057","10","100","762","262"
"10058","10","100","856","267"
"10059","10","300","598","270"
"10060","10","100","517","275"
"10061","10","100","482","280"
"10062","10","100","330","283"
"10063","10","101","817","288"
"10064","10","100","463","292"
"10065","10","200","836","297"
"10066","10","100","501","302"
"10067","10","100","882","307"
"10068","10","101","332","311"
"10069","10","100","428","314"
"10070","10","101","520","317"
"10071","10","101","325","320"
"10072","10","100","145","323"
"10073","10","100","775","326"
"10074","10","100","417","330"
"10075","10","100","125","333"
"10076","10","101","222","338"
"10077","10","100","93","341"
"10078","10","100","519","346"
"10079","10","100","402","349"
"10080","10","100","650","352"
"10081","10","101","593","356"
"10082","10","400","605","360"
"10083","10","100","261","364"
"10084","10","101","455","368"
"10085","10","100","475","371"
"10086","10","100","338","374"
"10087","10","100","604","378"
"10088","10","100","166","382"
"10089","10","101","621","386"
"10090","10","100","1159","389"
"10091","10","100","669","393"
"10092","10","100","1091","398"
"10093","10","101","789","402"
"10094","10","100","529","407"
"10095","10","300","832","412"
"10096","10","101","77","417"
"10097","10","100","908","421"
"10098","10","100","841","424"
"10099","10","100","596","429"
"10100","10","100","186","433"
"10101","10","101","268","438"
"10102","10","100","391","442"
"10103","10","100","942","445"
"10104","10","100","60","450"
"10105","10","100","622","454"
"10106","10","100","909","458"
"10107","10","100","961","462"
"10108","10","101","390","466"
"10109","10","100","1168","470"
"10110","10","100","965","475"
"10111","10","101","810","480"
"10112","10","100","1087","483"
"10113","10","100","1051","488"
"10114","10","100","500","493"
"10115","10","101","147","498"
"10116","10","100","1145","503"
"10117","10","100","957","508"
"10118","10","100","836","512"
"10119","10","100","482","517"
"10120","10","100","282","521"
"10121","10","101","201","525"
"10122","10","100","197","530"
"10123","10","100","612","534"
"10124","10","100","487","537"
"10125","10","101","127","542"
"10126","10","100","331","545"
"10127","10","100","772","549"
"10128","10","400","1019","552"
"10129","10","100","598","556"
"10130","10","100","225","560"
"10131","10","101","1076","563"
"10132","10","100","447","566"
"10133","10","100","388","570"
"10134","10","100","925","575"
"10135","10","101","261","580"
"10136","10","100","536","583"
"10137","10","100","347","588"
"10138","10","100","821","591"
"10139","10","100","733","596"
"10140","10","100","449","601"
"10141","10","100","467","606"
"10142","10","200","902","609"
"10143","10","100","703","614"
"10144","10","101","502","618"
"10145","10","100","621","623"
"10146","10","101","396","627"
"10147","10","100","1043","631"
"10148","10","101","311","636"
"10149","10","100","311","640"
"10150","10","400","214","643"
"10151","10","101","416","646"
"10152","10","100","3","651"
"10153","10","300","891","656"
"10154","10","100","1009","661"
"10155","10","100","334","666"
"10156","10","100","844","669"
"10157","10","100","486","674"
"10158","10","100","974","677"
"10159","10","101","890","681"
"10160","10","100","525","686"
"10161","10","101","622","689"
"10162","10","100","493","692"
"10163","10","100","407","696"
"10164","10","100","853","700"
"10165","10","100","375","704"
"10166","10","101","959","708"
"10167","10","100","182","713"
"10168","10","100","712","717"
"10169","10","100","1148","720"
"10170","10","100","292","723"
"10171","10","101","1128","727"
"10172","10","100","137","730"
"10173","10","101","1182","735"
"10174","10","100","760","738"
"10175","10","100","719","742"
"10176","10","101","1083","746"
"10177","10","100","690","750"
"10178","10","100","294","755"
"10179","10","100","1033","760"
"10180","10","100","302","764"
"10181","10","100","527","767"
"10182","10","100","912","770"
"10183","10","101","788","774"
"10184","10","100","454","780"
"10185","10","100","477","784"
"10186","10","101","632","787"
"10187","10","100","324","790"
"10188","10","101","597","796"
"10189","10","100","251","801"
"10190","10","100","94","807"
"10191","10","200","322","810"
"10192","10","100","133","814"
"10193","10","100","783","817"
"10194","10","100","1081","822"
"10195","10","101","578","827"
"10196","10","100","1140","833"
"10197","10","100","1016","837"
"10198","10","100","529","842"
"10199","10","100","590","846"
"10200","10","101","924","855"
"11001","11","100","255","30"
"11002","11","100","777","34"
"11003","11","100","132","37"
"11004","11","101","315","41"
"11005","11","100","656","46"
"11006","11","100","738","51"
"11007","11","100","569","54"
"11008","11","101","362","58"
"11009","11","100","122","62"
"11010","11","100","745","67"
"11011","11","100","163","71"
"11012","11","100","668","75"
"11013","11","101","1162","78"
"11014","11","100","714","82"
"11015","11","100","898","87"
"11016","11","100","646","92"
"11017","11","100","319","96"
"11018","11","100","818","101"
"11019","11","100","429","105"
"11020","11","100","62","108"
"11021","11","100","299","112"
"11022","11","100","351","117"
"11023","11","100","881","120"
"11024","11","100","749","125"
"11025","11","101","699","129"
"11026","11","100","660","133"
"11027","11","100","948","137"
"11028","11","100","1060","140"
"11029","11","100","729","143"
"11030","11","100","1126","147"
"11031","11","101","1069","152"
"11032","11","100","719","155"
"11033","11","101","1131","159"
"11034","11","101","596","162"
"11035","11","100","908","165"
"11036","11","100","311","170"
"11037","11","101","501","173"
"11038","11","100","231","178"
"11039","11","400","327","183"
"11040","11","100","394","188"
"11041","11","100","928","192"
"11042","11","101","320","197"
"11043","11","100","164","202"
"11044","11","100","251","205"
"11045","11","100","879","210"
"11046","11","101","781","215"
"11047","11","100","611","219"
"11048","11","100","984","224"
"11049","11","100","418","227"
"11050","11","100","559","232"
"11051","11","100","265","237"
"11052","11","100","899","240"
"11053","11","100","748","244"
"11054","11","101","1187","247"
"11055","11","100","1087","252"
"11056","11","200","1029","255"
"11057","11","100","872","259"
"11058","11","100","1031","262"
"11059","11","101","760","265"
"11060","11","100","320","270"
"11061","11","101","923","273"
"11062","11","100","1020","277"
"11063","11","100","504","281"
"11064","11","100","45","284"
"11065","11","100","673","289"
"11066","11","100","1140","292"
"11067","11","101","829","296"
"11068","11","100","647","300"
"11069","11","300","741","304"
"11070","11","100","688","307"
"11071","11","100","630","310"
"11072","11","101","489","314"
"11073","11","100","649","317"
"11074","11","100","50","321"
"11075","11","101","129","326"
"11076","11","100","680","330"
"11077","11","100","258","335"
"11078","11","100","530","340"
"11079","11","100","563","345"
"11080","11","101","896","349"
"11081","11","100","956","352"
"11082","11","100","848","357"
"11083","11","100","474","361"
"11084","11","101","786","364"
"11085","11","100","727","369"
"11086","11","100","568","374"
"11087","11","101","602","379"
"11088","11","100","1089","383"
"11089","11","100","757","386"
"11090","11","100","254","391"
"11091","11","101","823","395"
"11092","11","100","714","398"
"11093","11","100","633","402"
"11094","11","100","1110","407"
"11095","11","100","675","410"
"11096","11","100","326","414"
"11097","11","101","87","417"
"11098","11","100","428","422"
"11099","11","100","953","425"
"11100","11","100","666","429"
"11101","11","101","846","434"
"11102","11","100","659","439"
"11103","11","100","523","444"
"11104","11","400","861","447"
"11105","11","100","228","452"
"11106","11","100","498","456"
"11107","11","101","612","461"
"11108","11","100","251","464"
"11109","11","300","366","467"
"11110","11","100","185","471"
"11111","11","101","289","476"
"11112","11","100","37","481"
"11113","11","100","102","484"
"11114","11","100","223","488"
"11115","11","100","386","492"
"11116","11","100","561","495"
"11117","11","100","89","500"
