719d475ed010b2c9a75a4e921c43c83f946183df82e235bb5e4a611cb95ed2e5,e9804c2be004d830855be6dddfbfc9d838e4f85074738e04abe05ef21d8f0065,890d2bc522257ed8fbda1a3d14894622209d97571b40dca77b961664928fe17f,0812762552e022fab22c3d826c693eb2087e78a93fee1afcb8180288a62eb6c0,e7c9b60cb345d0ecc79e755b53ef672a6f9c0cbe9724f8308f851dbd37ecc38d,e3bc7cd9f490e40777af96d769a5b7ea42436fa5fe5c4a1357aba95f4928d1be,7d61ea2411247cf02aab1277e527e9597cbdcec9d4fbc9ae61b0f6b3fa718304,abb44aa9a03549867f27a127b7c58f5afced945740a9f87c7574e7528c019407,2b268c0e166fdbf185099b2f1eb3de10a204c8502fdfdc1ee58d4685f8b259e7,2472bc2c2c40c2a1d340ea196649f01b26175262426c3d8e8b4ec0abfe28d00b,6cec7e1551e2b23b7170e2d656f8eaf7308d62c17f49d0f73762ab64598bf60e
"5128071","10128","둘만의 시간","2","10128107","0","0","8","91002","25","0"
"5128072","10128","새집의 필수 조건","2","0","5128071","0","8","91002","25","0"
"5128073","10128","사실은 누구보다도","2","0","5128072","0","8","91002","25","0"
"5128074","10128","가족끼리 소중하게 하고 싶은 것","2","0","5128073","0","8","91002","25","0"
"5128075","10128","맹세의 말","2","0","5128074","0","8","91002","50","0"
"5128081","10128","피의 혼약 보고","3","10128107","0","0","8","91002","25","0"
"5128082","10128","떠돌이의 집 구하기","3","0","5128081","0","8","91002","25","0"
"5128083","10128","사랑스러운 시간","3","0","5128082","0","8","91002","25","0"
"5128084","10128","동국의 가족 문화","3","0","5128083","0","8","91002","25","0"
"5128085","10128","꾸밈없는 사랑을","3","0","5128084","0","8","91002","50","0"
"5128091","10128","구두 약속은 재앙의 근원","4","0","5128075","5128085","0","0","0","0"
"5128092","10128","양보할 수 없는 가정의 맛","4","0","5128091","0","0","0","0","11001271"
"5128161","10128","꿈의 이야기꾼에게 이끌려","1","10128107","0","0","0","0","0","0"
