33de8b2a5ffee5b780eb022c1e98bd1bc1c77f7e07960d1db078acd831c20e14,89942cecc88a9695656fae5d21b9e06ec198d092588707061e7d16d9b81d7c43,cb356c85ddd8355ead28973bd2b66935513ef0893301960320e85d757076ad19,727aa6d14883469eb9b8543f24e27dc81a10aab28431c054cc73434625e3a183,d400285965ca8329f93e3e6a41957f4ae18a37511605882b94a50618a0ad6586,873a7c325ef08391a922866938f3edcf4d136d1623ab7b0a7b99ecd29cc03110,b4ea4db4e6266e11453b78db1dd7a4edfe4f2a0fc2b2f280fa6aac0a5106d2e0,aa67e98da42b2dc1ea5c232790d5c1c02bd64a1ec7ec2a3e5255d42228b90385
"1","1","52001","1","1","【요리】주사위가 2개로 늘어난다","0","0"
"2","1","52002","1","1","【요리】주사위 숫자가 항상 「1」이 나온다","0","0"
"3","1","52002","3","2","【요리】다음 턴 수 카운트를 스킵한다","0","0"
"4","1","52004","1","1","【요리】주사위 숫자가 항상 「4」가 나온다","0","0"
"5","1","52006","1","1","【요리】주사위 숫자가\n「4・5・6」만 나온다","0","0"
"6","1","52007","1","1","【요리】주사위 숫자가 첫 번째는 반드시 「3」, 두 번째는 반드시 「6」이 나온다","0","0"
"7","1","52003","1","1","【요리】주사위 숫자가 항상 「5」가 나온다","0","0"
"8","1","52008","2","7","【요리】마일 칸의 획득 마일이 200% 증가한다","0","0"
"9","2","4","3","2","【이벤트】다음 턴 수 카운트를 스킵한다","0","0"
"10","2","5","2","3","【이벤트】마일 칸의 획득 마일이 100% 증가한다","0","0"
"11","2","6","2","5","【이벤트】미니 게임의 획득 마일이 100% 증가한다","0","0"
"12","2","7","3","4","【이벤트】마일 상점의 모든 상품이 20% 이상 할인된다","0","0"
"13","1","52009","1","1","【요리】주사위 숫자가 첫 번째는 반드시 「8」, 두 번째는 반드시 「1」이 나온다","0","0"
"14","1","52010","2","6","【요리】「마일 칸」, 「트레저\n칸」, 「상점 칸」의 RANK가 1씩 상승한다","0","0"
"15","1","52011","1","1","【요리】ダイスの目が1回目は必ず「2」に, 2回目は必ず「7」になる","0","0"
"16","1","52012","1","1","【요리】ダイスの目が\n「1・2・3」のみになる","0","0"
"17","1","52012","3","2","【요리】다음 턴 수 카운트를 스킵한다","0","0"
"18","1","52014","1","8","【요리】移動時にマイルマスをスキップできる","0","0"
"19","1","52005","1","1","【요리】次回移動時に1マス分多く進める","0","0"
"20","1","52014","1","1","【요리】次回移動時に1マス分多く進める","2","2"
"21","1","52015","1","1","【요리】주사위가 2개로 늘어난다","0","0"
"22","1","52015","1","1","【요리】次回移動時に1マス分多く進める","0","0"
"23","1","52016","1","1","【요리】ダイスの目が必ず「6」になる","0","0"
"24","1","52017","1","9","【요리】移動系カテゴリーの요리が食べられなくなる","0","0"
"25","1","52018","1","1","【요리】ダイスの目が必ず「3」になる","0","0"
"26","1","52019","1","1","【요리】ダイスの目が必ず「8」になる","0","0"
"27","2","98011","3","2","【이벤트】다음 턴 수 카운트를 스킵한다","0","0"
"28","2","98012","3","2","【이벤트】다음 턴 수 카운트를 스킵한다","0","0"
"29","1","52020","1","10","【요리】移動時にマイルマスをスキップできる","0","0"
"30","1","52020","1","1","【요리】次回移動時に1マス分多く進める","2","2"
"31","1","52021","1","10","【요리】移動時にトレジャーマスをスキップできる","0","0"
"32","1","52022","1","1","【요리】ダイスの「5と6」の\n目が出る確率が3倍になる","0","0"
"1001","3","1","1","99","最大ｎマイルを入手する","0","0"
"1002","3","2","1","99","ダイスを1回振りなおせる","0","0"
"1003","3","3","1","99","ダイスを1回振りなおせる_有効ターン2","0","0"
"11001","3","1001","1","126501","【仲間】最大50％割引確定の\nショップを開く\n(1品100％割引あり)","0","0"
"11002","3","1002","1","105301","【仲間】最大1000マイルを入手する","0","0"
"11003","3","1003","1","126401","【仲間】요리を1つ入手する","0","0"
"11004","3","1004","1","100501","【仲間】ダイスの目を1回振りなおせる","0","0"
"11005","3","1005","1","101301","【仲間】ダイスの目を2回振りなおせる","0","0"
"11006","3","1006","1","104301","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","0"
"11007","3","1007","1","102701","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","0"
"11008","3","1008","1","100901","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0"
