7b87dc8f030cbf2b566a140ddc42f3a074b506aefd1250d269d3e85e134f11fa,d5d21215ee37d3892f977063a2a46fd8aec4bdd4e1e1fad6b90af9eef4d6a4e6,8e5e6d55cfc4c3b351265c906cabe0ec7204464377f9ce4cac0f43805508595a,50876e7001b9a8b73772cbba44507ecf6ba1e5d1134f3f164674ff3abf51cf12,b1805e111b523f4012f2165ed64bf47c9741f168c103627a4e81a4b215a96751,b8c66dbe6b69cdcc01ecb2c41d4a5a5243bb8175bad16c4403ed4f3c40384750,d162a3f9c7429a72b75dcfe28ca8506a305cacc5922d37c1cfa5e3f294833603,35d333589f8b1e00ce8cf71a3269d4311925b6a15a755177ece1674a98f2b4d6,51c57d924f13c1c14887a001fc147683a0cf49a59fca5e5dfe688e2db8363a96,e9992d031313373227d43c8ee2e551cb36d3d1841b612c84b217e217f3344d30,b82e63d943e0824ff54895906ef257d12a36634f8107dcf83430a53084841519,f873da8fd89f477f5d064dcd457f59340a594478f7a710205d9b81df2148571f,e352b4bb5947c81aa176d59dfc587f8659c38017bd265ceb45ce3e6ed9628d75
"3110001","늑대","0","돼지","0","사슴","0","개","0","1","1","0","0"
"3110002","일","0","이","0","삼","0","사","0","1","1","0","0"
"3110003","十","0","九","0","八","0","七","0","1","1","1","0"
"3110004","예그리나","0","가온누리","0","초원","0","우유","0","1","1","0","0"
"3110006","훌쩍훌쩍","0","따가닥따가닥","0","우걱우걱","0","우물우물","0","1","1","0","0"
"3110007","콩닥콩닥","0","두근두근","0","아삭아삭","0","싹뚝싹뚝","0","1","1","0","0"
"3110009","田","0","十","0","木","0","口","0","0","1","1","0"
"3110010","그러나","0","하지만","0","그래서","0","따라서","0","1","1","0","0"
"3110011","쉬림프","0","뵈요","0","얻다 대고","0","일일이","0","1","1","0","0"
"3110012","身(이)","0","鼻(목)","0","地(지)","0","自(자)","0","1","1","0","0"
"3110013","마","0","바","0","가","0","나","0","1","1","0","0"
"3110015","土","0","金","0","月","0","火","0","1","1","0","0"
"3111001","프린세스","0","스트라이크","0","블레이드","0","퀸","0","1","1","0","0"
"3111002","힐","0","올","0","어택","0","익스플로션","0","1","1","0","0"
"3120001","F","0","G","0","H","0","J","0","1","0","0","1"
"3120002","부부지정","0","부창부수","0","부랴부랴","0","부화뇌동","0","1","1","0","0"
"3120006","극","0","하","0","상","0","용","0","1","1","1","0"
"3120007","성","0","왕","0","천","0","지","0","1","1","1","0"
"3120008","몽상가","0","공상가","0","야심가","0","탐욕가","0","1","1","1","0"
"3120010","수박","0","모기","0","함박눈","0","단풍","0","1","1","0","0"
"3120011","사철","0","파도","0","사서","0","사절","0","1","0","1","1"
"3120012","서","0","과","0","포","0","도","0","1","1","0","0"
