afede4fb73d7872c2661b4e8c4f6aaaf2a8fd76d25ba3613f110ca1cb91f7f24,1609b4cc70d61ddcaa868dba4e186d56f89c43826e7fc219a2a0d3b7ccbc395e,3607f6bd23c99db964238f30219b5393eeb675a5d880b4ff64a2ab4e78ba23d8,ed5b68614b075f77a2b4b26e11d0ce02985fcb48c18ddad0cf8373b4c59e1586,1815a2ee8116b417c7162c09b828fb6b865c884d0547557914edc80aa26734b4,f286f60bea2aa3aa47f930edd88d392346933fba74c1fd3c5ad85080e4e8b877,35cc4f9de117672ea5b8eccc3a27b2c6f7b6cdf340ace77027642d1fed4bc467,e76f2df8250d2ff8ab13b3cc22e012911b064ce85aabacb3a20995792c87ee7d,6eb2a5f95085418e2aaa651938925d62230d66f9a07709ad956135df0ab6bc2c,dbbe15f678713a5663e33926717489fce26d9cce46c00992183de69c43473224,82a694f89a269b02172c05c01e5e31b623cd1d9bd8472e8cf590b16e888bc9da
"10053","1","에밀리아","1000","1","109901","0","0","0","0","0"
"10053","2","렘","1000","1","109701","0","0","0","0","0"
"10053","3","람","1000","1","109801","0","0","0","0","0"
"20015","1","스즈나","1000","1","110001","0","0","0","0","0"
"20015","2","미사키","1000","1","110201","0","0","0","0","0"
"20017","1","클로에","1000","1","110801","0","0","0","0","0"
"20017","2","치에루","1000","1","110901","0","0","0","0","0"
"20017","3","유니","1000","1","111001","0","0","0","40","0"
"20018","1","미미","1000","1","111301","0","0","0","0","0"
"20018","2","쿄우카","1000","1","111101","0","0","0","0","0"
"20018","3","미소기","1000","1","111201","0","0","0","0","0"
"20019","1","이노리","1000","1","106601","0","0","0","0","0"
"20019","2","카야","1000","1","106501","0","0","0","0","0"
"20020","3","노조미","1000","1","111601","0","0","0","0","0"
"20020","1","크리스티나","1000","1","111501","0","0","0","0","0"
"20020","2","이리야","1000","1","111701","0","0","0","0","0"
"20022","1","카스미","1000","1","112201","0","0","0","0","0"
"20022","2","시오리","1000","1","112301","0","0","0","0","0"
"20023","1","치에루","1000","1","110901","0","0","0","0","0"
"20023","2","클로에","1000","1","110801","0","0","0","0","0"
"20023","3","유니","1000","1","111001","0","0","0","0","0"
"20024","1","마히루","1000","1","103301","0","0","0","0","0"
"20024","2","린","1000","1","102601","0","0","0","0","0"
"20024","3","리마","1000","1","105201","0","0","0","0","0"
"20024","4","시오리","1000","1","103801","0","0","0","0","0"
"20025","1","리노","1000","2","112901","0","0","0","0","0"
"20025","2","아유미","1000","2","113001","0","0","0","0","0"
"20025","3","히요리","1000","2","900103","0","0","0","0","0"
"20025","4","이노리","1000","2","906601","0","0","0","0","5042004"
"20025","5","호마레","1000","2","106701","0","-40","0","-40","5042004"
"20026","1","루카","1000","1","113101","0","-40","0","-40","0"
"20026","2","나나카","1000","1","113301","0","0","0","0","0"
"20026","3","안나","1000","1","113201","0","0","0","0","0"
"20028","1","요리","1000","1","113801","0","0","0","0","0"
"20028","2","아카리","1000","1","113701","0","0","0","0","0"
"20029","1","츠무기","1000","1","113901","0","0","0","0","0"
"20029","2","레이","1000","1","114001","0","0","0","0","0"
"20029","3","마츠리","1000","1","114101","0","0","0","0","0"
"20030","1","모니카","1000","1","114201","0","0","0","0","0"
"20030","2","토모","1000","1","114301","0","0","0","0","0"
"20031","1","아키노","1000","1","114401","0","0","0","0","0"
"20031","2","사렌","1000","1","114501","0","0","0","0","0"
"20032","1","페코린느","1000","1","111801","0","0","0","0","0"
"20032","2","콧코로","1000","1","111901","0","0","0","0","0"
"20032","3","캬루","1000","1","112001","0","0","0","0","0"
"20032","4","무이미","1000","1","114701","0","0","0","0","5056002"
"20032","5","네네카","1000","1","115001","0","0","0","0","5056002"
"20035","1","리마","1000","1","115801","0","0","0","0","0"
"20035","2","마호","1000","1","116001","0","0","0","0","5061002"
"20035","3","마코토","1000","1","115901","0","0","0","0","5061003"
"20037","1","이노리","1000","1","116501","0","0","0","0","0"
"20037","2","카야","1000","1","116601","0","0","0","0","0"
"20038","1","아오이","1000","1","116701","0","0","0","0","0"
"20042","1","카오리","1000","1","117701","0","0","0","0","0"
"20042","2","니논","1000","1","117801","0","0","0","0","0"
"20042","3","스즈나","1000","1","117901","0","0","0","0","0"
"20043","1","이오","1000","1","119001","0","0","0","0","0"
"20043","2","쿠우카","1000","1","119101","0","0","0","0","0"
"20048","1","쿠루미","1000","1","121301","0","0","0","0","0"
"20048","2","미사키","1000","1","121401","0","0","0","0","0"
"20049","1","아유미","1000","1","121501","0","0","0","0","0"
"20049","2","이노리","1000","1","121601","0","0","0","0","0"
"10121","1","유카리","1000","1","122201","0","0","0","0","0"
"10121","2","아오이","1000","1","122101","0","0","0","0","0"
"10121","3","쥰","1000","1","123401","0","0","0","0","0"
"10127","1","마호","1000","1","123101","0","0","0","0","0"
"10127","2","아야네","1000","1","123201","0","0","0","0","0"
"10129","1","토모","1000","1","123601","0","0","0","0","0"
"10129","2","린","1000","1","123501","0","0","0","0","0"
"10129","3","나나카","1000","1","123701","0","0","0","0","0"
"10131","1","마츠리","1000","1","123901","0","0","0","0","0"
"10131","2","크리스티나","1000","1","123801","0","0","0","0","0"
"10114","1","모니카","1000","1","125201","0","0","0","0","0"
"10114","2","타마키","1000","1","125101","0","0","0","0","0"
"10124","1","시노부","1000","1","127101","0","0","0","0","0"
"10124","2","쿠우카","1000","1","127001","0","0","0","0","0"
"10124","3","란파","1000","1","126901","0","0","0","0","0"
"10124","4","해골 아버지","1000","1","427101","0","0","0","0","0"
