f8dea490b618bee1ef41878a3bf9fbd144c7429fa9862dd0442995e0d4f748da,b2741f0b6998d65dafb14acff250ffb8843f7e2ee056793b4c7d42fd590086eb,3cb385cf4de3c8d0a323148ac7e2deb8360097cf6e47464e88c0dfbc085e0c34,81ca051e67bee0dda031949f8132a5f55b01a3075eb769ae76a6876d3192980f,189f174731aac6770df143b48109bb9609708d9315409ba9c8fb994ac883ebc8,50afc7a8b9512d1d38ad18e4463b05b565c390eb0f3a410894669879a52d2f55,4c6cb87105f86704110520db11465d6cc29a6513e4370d5e5160cc159c77fd83,7b72a9e503632e30af1cb8d4980be7078926cca2f5ce73dffda0857fa8251cda,cc3005cf99682381b0f5a9fca39c16f7e0b15a18af540e40e4deceb3ab3778af,023530307f07edeafe17391bde1e00ad7beed9813c1a26b1f5b48de1d228d3f5,c7189304f23109b833563a145a5d50f0e486c098ca4c38ee6a05df926fb03570,730602b2d522b96c93b6cd4eee0b65f2f1af4595d365f7d01711ab3f5bade18a
"31000101","3","1000","10","1회 배틀하자","7003","0","0","1","31000101","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31000102","3","1000","10","5회 배틀하자","7003","0","0","5","31000102","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31000103","3","1000","10","10회 배틀하자","7003","0","0","10","31000103","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31000104","3","1000","10","15회 배틀하자","7003","0","0","15","31000104","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31000105","3","1000","10","20회 배틀하자","7003","0","0","20","31000105","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31000106","3","1000","10","25회 배틀하자","7003","0","0","25","31000106","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31000107","3","1000","10","30회 배틀하자","7003","0","0","30","31000107","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31000108","3","1000","10","35회 배틀하자","7003","0","0","35","31000108","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31000109","3","1000","10","40회 배틀하자","7003","0","0","40","31000109","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001101","3","1001","10","흑의 왕 재버워크에게 누적 500만 데미지를 주자","7004","3001","0","5000000","31001101","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001102","3","1001","10","흑의 왕 재버워크에게 누적 750만 데미지를 주자","7004","3001","0","7500000","31001102","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001103","3","1001","10","흑의 왕 재버워크에게 누적 1000만 데미지를 주자","7004","3001","0","10000000","31001103","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001111","3","1001","11","흑의 왕 재버워크에게 1번의 배틀에서 250만 데미지를 주자","7005","3001","2500000","1","31001111","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001112","3","1001","11","흑의 왕 재버워크에게 1번의 배틀에서 500만 데미지를 주자","7005","3001","5000000","1","31001112","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001201","3","1001","20","폭주한 이노센트 보우에게 누적 500만 데미지를 주자","7004","3002","0","5000000","31001201","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001202","3","1001","20","폭주한 이노센트 보우에게 누적 750만 데미지를 주자","7004","3002","0","7500000","31001202","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001203","3","1001","20","폭주한 이노센트 보우에게 누적 1000만 데미지를 주자","7004","3002","0","10000000","31001203","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001211","3","1001","21","폭주한 이노센트 보우에게 1번의 배틀에서 250만 데미지를 주자","7005","3002","2500000","1","31001211","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001212","3","1001","21","폭주한 이노센트 보우에게 1번의 배틀에서 500만 데미지를 주자","7005","3002","5000000","1","31001212","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001301","3","1001","30","팬텀바론에게 누적 500만 데미지를 주자","7004","3003","0","5000000","31001301","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001302","3","1001","30","팬텀바론에게 누적 750만 데미지를 주자","7004","3003","0","7500000","31001302","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001303","3","1001","30","팬텀바론에게 누적 1000만 데미지를 주자","7004","3003","0","10000000","31001303","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001311","3","1001","31","팬텀바론에게 1번의 배틀에서 250만 데미지를 주자","7005","3003","2500000","1","31001311","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001312","3","1001","31","팬텀바론에게 1번의 배틀에서 500만 데미지를 주자","7005","3003","5000000","1","31001312","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001401","3","1001","40","텐타퍼스에게 누적 500만 데미지를 주자","7004","3004","0","5000000","31001401","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001402","3","1001","40","텐타퍼스에게 누적 750만 데미지를 주자","7004","3004","0","7500000","31001402","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001403","3","1001","40","텐타퍼스에게 누적 1000만 데미지를 주자","7004","3004","0","10000000","31001403","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001411","3","1001","41","텐타퍼스에게 1번의 배틀에서 250만 데미지를 주자","7005","3004","2500000","1","31001411","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31001412","3","1001","41","텐타퍼스에게 1번의 배틀에서 500만 데미지를 주자","7005","3004","5000000","1","31001412","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31002101","3","1002","10","고우신에게 누적 500만 데미지를 주자","7004","3005","0","5000000","31002101","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31002102","3","1002","10","고우신에게 누적 750만 데미지를 주자","7004","3005","0","7500000","31002102","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31002103","3","1002","10","고우신에게 누적 1000만 데미지를 주자","7004","3005","0","10000000","31002103","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31002104","3","1002","10","고우신에게 누적 1억 1000만 데미지를 주자","7004","3005","0","110000000","31002104","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31002111","3","1002","11","고우신에게 1번의 배틀에서 250만 데미지를 주자","7005","3005","2500000","1","31002111","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31002112","3","1002","11","고우신에게 1번의 배틀에서 500만 데미지를 주자","7005","3005","5000000","1","31002112","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31002113","3","1002","11","고우신에게 1번의 배틀에서 2200만 데미지를 주자","7005","3005","22000000","1","31002113","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31003101","3","1003","10","알마＆올램에게 누적 500만 데미지를 주자","7004","3006","0","5000000","31003101","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31003102","3","1003","10","알마＆올램에게 누적 750만 데미지를 주자","7004","3006","0","7500000","31003102","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31003103","3","1003","10","알마＆올램에게 누적 1000만 데미지를 주자","7004","3006","0","10000000","31003103","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31003104","3","1003","10","알마＆올램에게 누적 1억 데미지를 주자","7004","3006","0","100000000","31003104","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31003111","3","1003","11","알마＆올램에게 1번의 배틀에서 250만 데미지를 주자","7005","3006","2500000","1","31003111","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31003112","3","1003","11","알마＆올램에게 1번의 배틀에서 500만 데미지를 주자","7005","3006","5000000","1","31003112","2024/01/15 16:00:00","2024/01/22 15:59:59"
"31003113","3","1003","11","알마＆올램에게 1번의 배틀에서 2000만 데미지를 주자","7005","3006","20000000","1","31003113","2024/01/15 16:00:00","2024/01/22 15:59:59"
