3dbf40f03b6ff2f1c8d9c39a89e6294e956a8d676a490029af30dbd9dd04236b,2710d234cc987095a3ebe5f03b6f1e97f15e250bc8ea7f14531e4e04c4f77e95,e9b0c157c3d862b74bba6c56d8f619d4d6b81ae872f33be9b88362f39ae81421,49c8227d47b570d30c3cdf42248e25a8e32c047da54e0e34b5a2a1133a479cc8,2d6942ce614ff4083d1fd7b411ded838105de61b179754f98421769f95e143b3,b0aa9836d92856e203662ebbbbeb80467055501fe7d57f5e7e0fe3fd47b4db03,c624f8f9ebee422137e0e5759f9cb72e50ce85822b957674d286df8d240ceaf2,81f604810a45520059b868ff08663b7199d04f089dcf72cd08b1311245b669bd,56477a760dd63fa5c66abdd6ab997d5e59c0c272ad28c7e86975f05126ccebb3,836f6c5d3b740f43fc2d788102e1273f0abea5a21f63234a33dc022ac2b728bd,7bad2245517dab1c69b4e3b0f88e65898cd3a3d12c089c8fb7c40dcb22884dd4
"1001501001","1001501","1","1","100111","850","400","-220","1.5","1","cmn_talk_def_N"
"1001501002","1001501","31","8","8","0","0","1","1","",""
"1001501003","1001501","31","7","7","0","0","1","1","",""
"1001501004","1001501","31","47","47","0","0","1","1","",""
"1001501005","1001501","31","3","3","0","0","1","1","",""
"1001501006","1001501","31","2","2","0","0","1","1","",""
"1001501007","1001501","31","1","1","0","0","1","1","",""
"1001501008","1001501","31","12","12","0","0","1","0","",""
"1001501009","1001501","3","100111","blb_run_01","1","","","0.3","",""
"1001501010","1001501","2","100111","90","-220","1.3","0","","",""
"1001501011","1001501","25","bgm_M321","bgm_M321_2C","0","0","","","",""
"1001501012","1001501","121","0","0","1.25","1.25","0","0","",""
"1001501013","1001501","32","12","1","0","0","1","1","",""
"1001501014","1001501","23","se_common","se_sys_login_birthday_new_01","0","0","","","",""
"1001501015","1001501","93","1.3","","","","","","",""
"1001501016","1001501","3","100111","blb_stop","0","blb_idle","0","0.05","0.3",""
"1001501017","1001501","2","100111","80","-220","0.25","0","","",""
"1001501018","1001501","93","1.4","","","","","","",""
"1001501019","1001501","121","0","0","1.4","1.4","1","3","",""
"1001501020","1001501","131","1","","","","","","",""
"1001501021","1001501","3","100111","blb_blowout_02","0","blb_idle","1","0.3","0.3",""
"1001501022","1001501","93","0.7","","","","","","",""
"1001501023","1001501","32","12","0","0","0","1","1","",""
"1001501024","1001501","31","13","13","0","0","1","1","",""
"1001501025","1001501","93","0.2","","","","","","",""
"1001501026","1001501","23","se_common","se_sys_login_birthday_blow_candle","0","0","","","",""
"1001501027","1001501","93","1.2","","","","","","",""
"1001501028","1001501","23","se_adv_tickle_02","se_adv_tickle_02","0","0","","","",""
"1001501029","1001501","31","4","4","0","0","1","1","",""
"1001501030","1001501","93","1","","","","","","",""
"1001501031","1001501","23","se_common","se_sys_login_birthday_02","0","0","","","",""
"1001501032","1001501","3","100111","blb_idle","1","","0","0.3","",""
"1001501033","1001501","93","1.05","","","","","","",""
"1001501034","1001501","23","se_common","se_sys_login_birthday_cracker","0","0","","","",""
"1001501035","1001501","31","6","6","0","0","1","1","",""
"1001501036","1001501","3","100111","blb_joy_02","0","blb_wish_02","1","0","",""
"1001501037","1001501","93","2","","","","","","",""
"1001501038","1001501","21","vo_adv_1001501","vo_adv_1001501_000","0","0","","","",""
"1001501039","1001501","13","100111","870","","","","","",""
"1001501040","1001501","11","100111","고마워~ 기사 군~!\n생일 축하를 해주다니\n엄청, 어~엄청 기뻐~!","5","1","1","0","0",""
"1001501041","1001501","91","0","","","","","","",""
"1001501042","1001501","21","vo_adv_1001501","vo_adv_1001501_001","0","0","","","",""
"1001501043","1001501","11","100111","나를 놀라게 하려고\n몰래 준비한 거야?\n엄청 깜짝 놀랐어!","6","1","1","0","0",""
"1001501044","1001501","91","0","","","","","","",""
"1001501045","1001501","21","vo_adv_1001501","vo_adv_1001501_002","0","0","","","",""
"1001501046","1001501","11","100111","준비하는 거 힘들지 않았어?\n다음엔 나도 불러줘!\n전력을 다해서 도와줄 테니까!","7","1","1","0","0",""
"1001501047","1001501","91","0","","","","","","",""
"1001501048","1001501","21","vo_adv_1001501","vo_adv_1001501_003","0","0","","","",""
"1001501049","1001501","11","100111","……내 생일이니까,\n그러면 서프라이즈가 안 된다고?\n그렇구나! 정말 그렇네! 에헤헤……","5","1","1","0","0",""
"1001501050","1001501","91","0","","","","","","",""
"1001501051","1001501","21","vo_adv_1001501","vo_adv_1001501_004","0","0","","","",""
"1001501052","1001501","11","100111","오늘은 기사 군 덕분에\n최고의 하루가 됐어!\n왠지 두근거림이 안 멈추네……\n자자, 얼른 케이크 먹자~!","6","1","1","0","0",""
"1001501053","1001501","91","0","","","","","","",""
"1001501054","1001501","31","9","9","0","0","1","1","",""
"1001501055","1001501","131","0","","","","","","",""
"1001501056","1001501","22","0","1","0","0","","","",""
"1001501057","1001501","111","","","","","","","",""
"1001501058","1001501","91","0","","","","","","",""
"1002501001","1002501","1","1","100211","850","400","-220","1.5","1","cmn_talk_def_N"
"1002501002","1002501","31","8","8","0","0","1","1","",""
"1002501003","1002501","31","7","7","0","0","1","1","",""
"1002501004","1002501","31","22","22","0","0","1","1","",""
"1002501005","1002501","31","3","3","0","0","1","1","",""
"1002501006","1002501","31","2","2","0","0","1","1","",""
"1002501007","1002501","31","1","1","0","0","1","1","",""
"1002501008","1002501","31","12","12","0","0","1","0","",""
"1002501009","1002501","3","100211","blb_run_01","1","","","0.3","",""
"1002501010","1002501","2","100211","90","-220","1.3","0","","",""
"1002501011","1002501","25","bgm_M321","bgm_M321_2C","0","0","","","",""
"1002501012","1002501","121","0","0","1.25","1.25","0","0","",""
"1002501013","1002501","32","12","1","0","0","1","1","",""
"1002501014","1002501","23","se_common","se_sys_login_birthday_new_01","0","0","","","",""
"1002501015","1002501","93","1.3","","","","","","",""
"1002501016","1002501","3","100211","blb_stop","0","blb_idle","0","0.05","0.3",""
"1002501017","1002501","2","100211","80","-220","0.25","0","","",""
"1002501018","1002501","93","1.4","","","","","","",""
"1002501019","1002501","121","0","0","1.4","1.4","1","3","",""
"1002501020","1002501","131","1","","","","","","",""
"1002501021","1002501","3","100211","blb_blowout_01","0","blb_idle","1","0.3","0.3",""
"1002501022","1002501","93","0.7","","","","","","",""
"1002501023","1002501","32","12","0","0","0","1","1","",""
"1002501024","1002501","31","13","13","0","0","1","1","",""
"1002501025","1002501","93","0.2","","","","","","",""
"1002501026","1002501","23","se_common","se_sys_login_birthday_blow_candle","0","0","","","",""
"1002501027","1002501","93","1.2","","","","","","",""
"1002501028","1002501","23","se_adv_tickle_02","se_adv_tickle_02","0","0","","","",""
"1002501029","1002501","31","4","4","0","0","1","1","",""
"1002501030","1002501","93","1","","","","","","",""
"1002501031","1002501","23","se_common","se_sys_login_birthday_02","0","0","","","",""
"1002501032","1002501","3","100211","blb_idle","1","","0","0.3","",""
"1002501033","1002501","93","1.05","","","","","","",""
"1002501034","1002501","23","se_common","se_sys_login_birthday_cracker","0","0","","","",""
"1002501035","1002501","31","6","6","0","0","1","1","",""
"1002501036","1002501","3","100211","blb_joy_01","0","blb_wish_01","1","0","",""
"1002501037","1002501","93","2","","","","","","",""
"1002501038","1002501","21","vo_adv_1002501","vo_adv_1002501_000","0","0","","","",""
"1002501039","1002501","13","100211","870","","","","","",""
