f6e2b9d1d8b2b93349720bd57a705a4bc625829fe9d66bd778050af0e407213e,35c403e5faed10a04173f496048d8311dbef2fed1c32b9a24e2232f038cf6cac,a718fa6930fb77a42740e7d86e62a38e48f0d3fca7c624302b1ad7127c5f81d0,92ada59657f9ce1861214497f9b4ac7625a07aa15cc674fdda81cefd66484482,24070b4bdd21116e677e9e102dbdd594bc46e049e6ff468d634a6ce872be4270,64a97eddc10807f32a401d94374dfab8b29ba539f1225f2d9713513106cefea1,a1366a4805a1a26ad2ef065c23cf0734a81ebabfc9215e25251be0bc35b67ec5,bd5314405a6d7807020eac8279402c7f305993ba2312d72c113b9b932cff2fca,21105dddefab5d0785a043d939ae5b553aebe27f8b4e154cf3cb6383f5bde0b9,750c27513b78481e72fd0ec64d4d7b6dd9c42d5f4a6447b1be378470ca1caf31,bf361b8701f7c34becc8057ea90d900687ae8ca63f580f13514c00f4a68d8f9f,9742e176ad69f0f1c7fffa6dc91ba300856248d78370bd997873c47bc8a4b2a2,48bb805e4d959949a2038d0ba72b79f83dd5c098a3b8721d76878ffa4ed8474e,eba4a06db123b3fc5f361d570f86db1b52720769efd2c5daf4819b1524253b0f,e61c2207e51597308eac3942a40deef6898923ad0104d3105eae2815a4705a37,ff4b26dc224b2505e6b6cb7bae3ee51bd415126d27294ede5780a758bd3316eb,956a21f5da78afd0dfc458da3f7a02444f4fb66411a1c98b122d4c1736a7ce0e,f9a7083ef45bed111d1351d0322b357928f957c05e7fe13edb891465fec8edcf,68001e1a61af7cd5450f9f54157d238cd09aacf92a89bc7a7ca1b380ed00901a,ed528367fd0ccca9ff961dc1e7179be10d75a331a83ae9620f59f947db6ad1b9,b0435a36178a6426de2bbfc69c899eb4ba914aeba778f3d6104ce4c2a0356976,16703d4822889c108cb883a24e88c1a8b6bb169fa1d09cce7513e0605920850a,d5fb9fc744ddfe1e4de3aa9e05bd89262e6c160c5be0840b89e26df915d8b251,8d59a249ebeab8406a347c0d60b020e34f5f1c06617f8d11b09109473210a7a4,aab16d6d475ab51c9579a5f311446b279182a1831f3f0549b41247df6d417172,f16ef1353cd6d59597d4784d630af3bc8707e7371b19521a71a59652bd383e5f,30e9029fe7891eaca4358472f9194e0d0b38bd7d46d50618460d30f7134e19ff,712ffe0c0867336aaad3a7a83a9b4409f4d1cc38997367259c06df988d2feda0,3a3988bb84f56c8b2380974f2805fdd962460e2c4b5cbdbfdd967756e43bef3c,1d9cdf7784e275568bb94cf3daf4b9830759771a86c573b81a1c079847026675,c0a66bc6cb508eaa50f5f57ab569e4c12962159f2538b0ce2215d2a1d4a9e306,a8281faf3ff61c8d56fb3e31785dcaa335773fa53ba482caee0fa700cc4ed365,2c9a89bf989df14063161fff999882bef5b07ff7838ae72010bf16ee6ab965e5,05e2a5e58e9aa6a301d291371b819b7a1b0e6cd132b908287b198c31e006527f
"1","미식전","특별한 음식점에 들어가기 위해 페코린느가 결성한 길드. 주요 목적은 맛집 탐방.","1058","1058","1059","1060","1075","1076","1078","1118","1119","1120","1804","1805","1806","1155","1210","1211","1253","1272","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","트윙클 위시","길드 마스터인 히요리와 함께 사람을 돕는 활동을 중점적으로 하는 길드. 진정한 목적은 같은 꿈을 꾸는 세 사람이 모두 함께 바라는 「솔의 탑 정상에 도달」하는 것이다.","1001","1001","1002","1003","1087","1088","1089","1801","1802","1803","1140","1156","1224","1226","1225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","라비린스","수수께끼의 인물ㆍ라비리스타가 결성한 세계의 수수께끼를 탐구하는 길드. 크레이프 가게를 운영하며 평범한 길드를 가장하고 있다 이른바 비밀결사.","1068","1068","1049","1011","1091","1129","1171","1193","1212","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","카르미나","솔로 아이돌이었던 노조미가 결성한 노래하고 춤추고 (나날의 슬픈 마음과) 싸우는 아이돌 길드. 라이브 공연 같은 행사가 주요 활동 내용.","1029","1029","1042","1054","1116","1084","1139","1172","1173","1174","1248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","리틀 리리컬","사이좋은 세 사람이 결성한 비공식 길드. 길드 흉내를 내며 그저 노는 것이 목적.","1020","1020","1004","1036","1113","1112","1111","1808","1229","1228","1227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","포레스티에","엘프족이 사는 숲을 관리하고 수호하는 긴 역사를 가진 길드. 엘프의 숲에만 나는 약초 관리나 숲의 가이드를 하고 있다.","1015","1015","1012","1040","1107","1135","1134","1167","1221","1807","1246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","악마왕국군(디아볼로스)","이리야가 마족 소녀들과 결성한 길드. 길드명은 일찍이 신들을 상대로 투쟁을 벌인 이리야가 이끌었던 최강의 마족 군대와 같다.","1044","1044","1022","1006","1031","1007","1081","1082","1117","1241","1240","1199","1137","1138","1209","1220","1262","1271","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","왕궁기사단(NIGHTMARE)","랜드솔의 국군이며 활동 목적은 「왕궁」 과 왕족의 호위 및 칙명을 받은 임무 달성이다. 거리의 치안을 지키는 경찰 조직의 성격도 강하다.","1047","1047","1071","1037","1005","1242","1115","1136","1236","1141","1143","1238","1239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","사렌디아 구호원","고아원이지만 한편으론 장사도 하고 있다. 왕궁 경호를 하며 지내는 나날에 회의감이 든 사렌이 사람들의 도움이 되는 일을 하고 싶어 결성했다.","1028","1028","1025","1023","1021","1103","1077","1145","1085","1086","1121","1213","1809","1232","1275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","자경단(카온)","마물의 위협으로부터 같은 【동물원】의 동료를 지키는 무도파 길드. 「섀도우」 등의 이변을 조사하거나 해결도 한다. 【왕궁기사단】과는 견원지간.","1010","1010","1043","1014","1017","1106","1104","1157","1105","1122","1160","1159","1177","1231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
