abd6942eba8c6967f63c96890db76ef8652a5df8a2d68c30fd69b6a15b6d496f,e12635a82cac370d63b553ddc7bb3a3fffccf243b96dc4a66e2a0eed41cc76d4,10ac2a57990c6c90cdb370be3c5ecc074f107598a203255e12068770eae3a0f7,433473c6c1d8e8836de4b42f1f84e94489e5dd38641172b527fec71406cbf394,bf452f144e966244185ef0ecdbd9cbb1508e264a6e8d2deacbad7335b2850c90
"27001","2021/03/16 15:00:00","2021/04/01 4:59:59","88","27001"
"27002","2022/03/15 15:00:00","2022/04/02 14:59:59","93","27001"
"27003","2022/09/13 15:00:00","2022/10/04 14:59:59","72","27001"
"27004","2023/01/30 15:00:00","2023/02/20 14:59:59","73","27001"
"27005","2023/03/16 15:00:00","2023/04/03 14:59:59","64","27005"
"27006","2023/09/14 15:00:00","2023/10/05 14:59:59","65","27001"
"27007","2024/01/30 15:00:00","2024/02/20 14:59:59","66","27001"
"27008","2024/03/14 15:00:00","2024/04/01 14:59:59","67","27005"
"27009","2024/05/28 15:00:00","2024/06/22 14:59:59","68","27009"
"27010","2024/09/11 15:00:00","2024/10/01 14:59:59","69","27001"
"27012","2024/12/31 15:00:00","2025/01/21 14:59:59","362","27012"
"27013","2025/03/13 15:00:00","2025/04/01 14:59:59","363","27005"
