eb256e41ab0a568d529cb9e279251271033b43f3947e3d9e94a76cb574fe4df0,12dbe5011294387e5a55b1d366e1c66d31df236b532245b85e15ab108fee3011,edd1b8416dcb5912135f16f2984b80646d4967159bb0a05aacc820fcc9e76fc3,1fb51d6fb177400094e79864dc64b04d2d4191cdc30459950196b82c6fb60ebd,e55ff40d3b3e03512eee3fa8ff19e41f486eed8ce1184563200718dfd41906bb,6235bffe430ef80102206ca572f1bb9f847fb42a3929e2bae80dd9e881d87e3a,5a4bd5a32984c842810a7229828ebc49917d2c7702c962923c0cd5b14fd7aa58,6664c040775d90690cd12e6b9a09c467f1baee80d988701d79d98ebd6d36971d,ec1634c4a54360cf7be0394f5fff142c6341db3b36c8bbb677c51733c84e4f0c,689f0a1ea1c7a42cbfa5acb0651ff543113eaa245f2a6f94a8765e6b8bbdcc51,2e5ead8a61746da40bc18831122284870c3144d0158ee34982c4bc9166587747,922c1e671c07c6c5f7a15d45265081354fd54ed4e81b6374da1ad0f80e57b0a7
"80001","★3 확정 애니 뽑기 티켓 (프린세스 커넥트! Re:Dive 1)","1","24005","1","2","0","80000","80001_1","80001_2","80001_3","1"
"80002","★3 확정 애니 뽑기 티켓 (프린세스 커넥트! Re:Dive 2)","1","24006","1","2","0","80000","80002_1","80002_2","80002_3","1"
"80003","★3 확정 애니 뽑기 티켓 (프린세스 커넥트! Re:Dive 3)","1","24007","1","2","0","80000","80003_1","80003_2","80003_3","1"
"80004","★3 확정 애니 뽑기 티켓 (프린세스 커넥트! Re:Dive 4)","1","24008","1","2","0","80000","80004_1","80004_2","80004_3","1"
"80005","★3 확정 프리코네 페스 기념 뽑기 티켓","1","24009","1","2","0","80000","80005_1","80005_2","80005_3","1"
"80006","★3 확정 프리코네 페스 2022 기념 뽑기 티켓","1","24010","1","2","0","80000","80006_1","80006_2","80006_3","1"
"80007","★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 1","1","24011","1","2","0","80000","80007_1","80007_2","80007_3","1"
"80008","★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 2","1","24012","1","2","0","80000","80008_1","80008_2","80008_3","1"
"80009","★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 3","1","24013","1","2","0","80000","80009_1","80009_2","80009_3","1"
"80010","★3 확정 프리코네 페스 2023 기념 뽑기 티켓","1","24014","1","2","0","80000","80010_1","80010_2","80010_3","1"
"80011","★3 확정 5주년 기념 뽑기 티켓","1","24015","1","2","0","80000","80011_1","80011_2","80011_3","1"
"80012","★3 확정 스타트 대시 뽑기 티켓","1","24016","1","2","0","80000","80012_1","80012_2","80012_3","1"
"80013","★3 확정 프리코네 페스 2024 기념 뽑기 티켓","1","24017","1","2","0","80000","80013_1","80013_2","80013_3","1"
