77551ba0196f9cf489b9657b5bae3bd822e0fded56d8c0e4049bcfe3bed501d5,cf27ad65c2ed803a44a0a93471836e07623b1366be9cdee5d304d7ccab72132c,2b8e214d0e493cc6ed99db70cd2eb157bc101d56bf3170eafc22ef18074b8b51,a4280d83be64b1122f090a125e604bd0876e32344505274dab47d72ca990c27e,ac67e78d8f08b23f98d76ee61d25c3fc00fe88658a6448720f4a79aa0e549daf,bff075c9d0ef3aa6c21349805c4f63ef3e9e94902012ab034c04e57eb1679715,9332309e1d07153d0b394b93d945067bf7e05c6b1a0d87fbe74df86d76b6da44
"10101","101","애니메이션 프린세스 커넥트! Re:Dive 1 동봉 특전","2030-08-04 12:00:00","2030/12/31 23:59:59","1","0"
"10102","101","애니메이션 프린세스 커넥트! Re:Dive 2 동봉 특전","2030-09-03 19:00:00","2030/12/31 23:59:59","1","0"
"10103","101","애니메이션 프린세스 커넥트! Re:Dive 3 동봉 특전","2029-10-01 17:00:00","2030/12/31 23:59:59","1","0"
"10104","101","애니메이션 프린세스 커넥트! Re:Dive 4 동봉 특전","2029-11-05 12:00:00","2030/12/31 23:59:59","1","0"
"10201","102","애니메이션 프린세스 커넥트! Re:Dive Season2 1권 구입 특전","2029-03-21 00:00:00","2030/12/31 23:59:59","1","0"
"10202","102","애니메이션 프린세스 커넥트! Re:Dive Season2 2권 구입 특전","2029-04-18 00:00:00","2030/12/31 23:59:59","1","0"
"10203","102","애니메이션 프린세스 커넥트! Re:Dive Season2 3권 구입 특전","2029-05-16 00:00:00","2030/12/31 23:59:59","1","0"
"20101","201","주간 패미통 6월 3일 호(5월 20일 발매) 수록 특전","2029-05-19 00:00:00","2029/05/19 23:59:59","1","0"
"20201","202","공식 아트웍스 Vol.3 발매 기념 아이템","2029-07-30 00:00:00","2030/07/30 23:59:59","1","0"
"20301","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20302","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20303","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20304","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20305","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20306","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20307","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20308","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20309","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20310","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20311","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20312","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20313","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20314","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20315","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20316","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20317","203","프리코네 페스 2023 리얼 뽑기","2030-01-15 15:00:00","2031/01/31 23:59:59","3","1"
"20401","204","캐릭터 송 앨범 Vol.5 구입 특전","2031-02-14 00:00:00","2032/02/13 23:59:59","1","0"
"20501","205","사운드 트랙 Vol.6 구입 특전","2031-02-14 00:00:00","2032/02/13 23:59:59","1","0"
