242edd1e876fc801a6cb92bad577d2f5fa3819196f28604de861803dc214d2c9,689c375de9b11ee9b49be2bf9e49f90c480789eb3db3962fa4896f8bbca4f54d,b0668b5eef5364f2575de41fa4aac8131d3fae80f5be2fa7046f9942d85be3ca
"32001","6","일렉트로 기가스"
"32001","7","괴란의 암흑기사"
"32001","8","라이라이"
"32001","9","니들 크리퍼"
"32001","10","백양・흑월의 수호상"
"32002","6","일렉트로 기가스"
"32002","7","괴란의 암흑기사"
"32002","8","라이라이"
"32002","9","니들 크리퍼"
"32002","10","백양・흑월의 수호상"
"32003","6","하이 가르그"
"32003","7","커스 올램"
"32003","8","와일드 그리핀"
"32003","9","쟈칼 시프"
"32003","10","백양・흑월의 수호상"
"32004","6","마스터 우끼끼"
"32004","7","킬링 오르카"
"32004","8","랜드 슬로우스"
"32004","9","매드 베어"
"32004","10","라스 드래곤"
"32005","6","이와노즈치"
"32005","7","호수 기린"
"32005","8","와이번"
"32005","9","마담 프리즘"
"32005","10","라스 드래곤"
"32006","6","로드 이블리"
"32006","7","홍극조"
"32006","8","라이라이"
"32006","9","오크 치프"
"32006","10","라스 드래곤"
"32007","6","일렉트로 기가스"
"32007","7","크리스탈 골렘"
"32007","8","랜드 슬로우스"
"32007","9","소드 코브라"
"32007","10","울티마 가디언"
"32008","6","마스터 우끼끼"
"32008","7","커스 올램"
"32008","8","고블린 라이더"
"32008","9","라이덴"
"32008","10","울티마 가디언"
"32009","6","이와노즈치"
"32009","7","홍극조"
"32009","8","와이번"
"32009","9","트라이 로커"
"32009","10","울티마 가디언"
