6a6cc9461c17bb7c681ed8c2f1f9cb16e0d3ea3e35fa98aa78fa9a7c85f37d46,e3ebe06c4c6ba52c85262e3f20827f063c0f7563b1a7d091d5cbcc3bb2d28ccf,d59014e9d651d05db04667ca7e03ab87e3e7dc7a116d7f4c9646c7f172068126,60fe13cef47e1d735cd07b91ddf89b63874478457f255a0dd40348416f14e053,d93848385b337bbe2faef9da3bd417183d4f31a7210bfafe4557b2858c7534e3,612ae043c86d42f2d24e42671fb293f732679e44a7bd45aac368cc1b45ab2ba4,b4a9ec5b70540f67497566cc4d6425516b886b8a47fee7761fe3e933844eb1d4,d1467b0256e6dc9d98e735fd331fd898d1be3195107d0611a1ed75a244d50e77
"53001","평범한 미감정 트레저","평범한\n미감정 트레저","1","200","100","1","정체불명인 수수께끼의 보물. 출장 길드 관리 협회로 가져가면 카린에게 감정을 받을 수 있다. 감정 결과, 레어도가 상승할 수 있다."
"53002","귀중한 미감정 트레저","귀중한\n미감정 트레저","2","400","200","1","정체불명인 수수께끼의 보물. 출장 길드 관리 협회로 가져가면 카린에게 감정을 받을 수 있다. 감정 결과, 레어도가 상승할 수 있다."
"53003","최고의 미감정 트레저","최고의\n미감정 트레저","3","800","400","1","정체불명인 수수께끼의 보물. 출장 길드 관리 협회로 가져가면 카린에게 감정을 받을 수 있다."
"53004","평범한 젬 스톤","평범한 젬 스톤","1","200","100","0","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
"53005","귀중한 젬 스톤","귀중한 젬 스톤","2","400","200","0","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
"53006","최고의 젬 스톤","최고의 젬 스톤","3","800","400","0","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
"53007","평범한 잉곳","평범한 잉곳","1","200","100","0","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
"53008","귀중한 잉곳","귀중한 잉곳","2","400","200","0","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
"53009","최고의 잉곳","최고의 잉곳","3","800","400","0","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
"53010","평범한 스크롤","평범한 스크롤","1","200","100","0","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
"53011","귀중한 스크롤","귀중한 스크롤","2","400","200","0","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
"53012","최고의 스크롤","최고의 스크롤","3","800","400","0","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
"53013","평범한 티아라","평범한 티아라","1","200","100","0","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
"53014","귀중한 티아라","귀중한 티아라","2","400","200","0","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
"53015","최고의 티아라","최고의 티아라","3","800","400","0","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
"53016","평범한 룬","평범한 룬","1","200","100","0","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
"53017","귀중한 룬","귀중한 룬","2","400","200","0","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
"53018","최고의 룬","최고의 룬","3","800","400","0","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
"53019","평범한 크라운","평범한 크라운","1","200","100","0","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
"53020","귀중한 크라운","귀중한 크라운","2","400","200","0","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
"53021","최고의 크라운","최고의 크라운","3","800","400","0","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
"53022","평범한 아티팩트","평범한 아티팩트","1","200","100","0","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
"53023","귀중한 아티팩트","귀중한 아티팩트","2","400","200","0","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
"53024","최고의 아티팩트","최고의 아티팩트","3","800","400","0","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
