271a3fd06743f745f06342abd1cec9dbcf889f0815348577f185f290516855c6,f2301445a273956ff625de7a264746ad9690b52bbc11c8d6247fa55a4cf539b6,525653c9bcbc09183a1c09575b6291b32881586df53625d3fc27f163597291ce,16e754b396f424a44e8158698917889e4f045c987b0dc1f250bba288add8d9d3,d814929746cd7dda4bf5c57ad71a97949399a8d96b858ea1475d568ad6612ebb,351d0bb737ec3e9b311a64992eae2496681bc7ec465eb60d80ae9548a4080748,7955d01d391c964a83d46c2c6d1659c78aca5bf8cc751b42c9a9869ce0bab58d
"1007001","10070","그림일기 1","0","20039101","0","0"
"1007002","10070","그림일기 2","0","20039101","0","1007001"
"1007003","10070","그림일기 3","0","20039103","0","1007002"
"1007004","10070","그림일기 4","0","20039106","0","1007003"
"1007005","10070","그림일기 5","0","20039107","0","1007004"
"1007006","10070","그림일기 6","0","20039110","0","1007005"
"1007007","10070","그림일기 7","0","20039112","0","1007006"
"1007008","10070","그림일기 8","0","0","2003901","1007007"
"1007009","10070","에리코의 그림일기","0","0","2003901","1007007"
"1007010","10070","시즈루의 그림일기","0","0","2003901","1007007"
"1007011","10070","그림일기 1(첨삭)","2022/08/12 15:00:00","20039101","0","0"
"1007012","10070","그림일기 2(첨삭)","2022/08/12 15:00:00","20039101","0","0"
"1007013","10070","그림일기 3(첨삭)","2022/08/12 15:00:00","20039103","0","0"
"1007014","10070","그림일기 4(첨삭)","2022/08/12 15:00:00","20039106","0","0"
"1007015","10070","그림일기 5(첨삭)","2022/08/12 15:00:00","20039107","0","0"
"1007016","10070","그림일기 6(첨삭)","2022/08/12 15:00:00","20039110","0","0"
"1007017","10070","그림일기 7(첨삭)","2022/08/12 15:00:00","20039112","0","0"
"1007018","10070","그림일기 8(첨삭)","2022/08/12 15:00:00","0","2003901","0"
"1007019","10070","에리코의 그림일기(첨삭)","2022/08/12 15:00:00","0","2003901","0"
"1007020","10070","시즈루의 그림일기(첨삭)","2022/08/12 15:00:00","0","2003901","0"
