9089fc93ded0d60ef5a6a8654c3ecdbe4fef974e4ce56210cd6e2d75a78de390,b497a1391c4250ff7f9db5285e577e42280839178af322638562130dc72460bb,e50b1c36304e0b75ccbae7aa58758023e1babf288006b4ebcd3e9e8e5560d21f,679544a12e223a47ef891c084432605d0fcec9abbcd54475a5ac5f7366eb6dfc,f21f1bfdceac56baead9cc6104db06341be357f5ac85fac29f35fbca103a548b,3b860de964ab698ecf6dd28a595fbf65930e657a427dc93c2b7e33a0559afae4,3334cdf81ef9bb356cf1983071688e3ce15e976678134130901346e7705a3236,6b338105e9f0eaa5507a904ee8cdcd1b7fe8e6a469f3cdadfee58c9ce7ad999a,7189e42775768544bad53395bafcd83b8a497def2d7d54d8d9a49a797156151b,4c7baa4b7eec0bd73e94690e342d78a44408b734eadca1982f103d07d12cc048,f0882b3243ad862c4455c96f023fe3d4c7b567fa1bbc341d408d7dc66ac95b97,e62d2fc387c64bec28b34d2983a81a9b1dd27164e4216f1c8fa16f7bc38b4d66
"1011611501","10116115","1","4","0","0","0","0","0","0","1","0.8"
"1011611502","10116115","2","2","0","0","0","0","vo_won","vo_won_10116115_01","0","0"
"1011611503","10116115","3","1","1","0","277","2.18","0","0","0","0"
"1011611504","10116115","4","4","0","0","0","0","0","0","1","3.07"
"1011611505","10116115","5","1","1","277","395","1","0","0","0","0"
"1011611506","10116115","6","4","0","0","0","0","0","0","1","1"
"1011611507","10116115","7","1","2","0","295","2.51","0","0","0","0"
"1011611508","10116115","8","4","0","0","0","0","0","0","1","3.03"
"1011611509","10116115","9","1","2","295","430","1.2","0","0","0","0"
"1011611510","10116115","10","4","0","0","0","0","0","0","1","1.2"
"1011611511","10116115","11","1","3","0","71","0.92","0","0","0","0"
"1011611512","10116115","12","4","0","0","0","0","0","0","1","1.12"
"1011611513","10116115","13","1","3","71","430","2.09","0","0","0","0"
"1011611514","10116115","14","4","0","0","0","0","0","0","1","2.09"
"1011611515","10116115","15","1","4","0","89","0.98","0","0","0","0"
"1011611516","10116115","16","4","0","0","0","0","0","0","1","1.47"
"1011611517","10116115","17","1","4","89","440","2.38","0","0","0","0"
"1011611518","10116115","18","4","0","0","0","0","0","0","1","2.38"
"1011611519","10116115","19","1","5","0","100","0.588999999999999","0","0","0","0"
"1011611520","10116115","20","4","0","0","0","0","0","0","1","0.965999999999999"
"1011611521","10116115","21","1","5","100","291","1.423","0","0","0","0"
"1011611522","10116115","22","4","0","0","0","0","0","0","1","2.673"
"1011611523","10116115","23","2","0","0","0","0","vo_won","vo_won_10116115_02","0","0"
"1011611524","10116115","24","1","6","0","130","1.39","0","0","0","0"
"1011611525","10116115","25","4","0","0","0","0","0","0","1","2.1"
"1011611526","10116115","26","1","6","130","450","1.5","0","0","0","0"
"1011611527","10116115","27","4","0","0","0","0","0","0","1","1.5"
"1011611528","10116115","28","1","7","0","54","0.553","0","0","0","0"
"1011611529","10116115","29","4","0","0","0","0","0","0","1","1.05"
"1011611530","10116115","30","1","7","54","430","2.553","0","0","0","0"
"1011611531","10116115","31","4","0","0","0","0","0","0","1","2.553"
"1011611532","10116115","32","1","8","0","134","0.761","0","0","0","0"
"1011611533","10116115","33","4","0","0","0","0","0","0","1","1.375"
"1011611534","10116115","34","2","0","0","0","0","vo_won","vo_won_10116115_03","0","0"
"1011611535","10116115","35","1","8","134","273","1.261","0","0","0","0"
"1011611536","10116115","36","4","0","0","0","0","0","0","1","1.715"
"1011611537","10116115","37","1","8","273","450","1.87","0","0","0","0"
"1011611538","10116115","38","4","0","0","0","0","0","0","1","1.87"
"1011611539","10116115","39","1","9","0","450","3.212","0","0","0","0"
"1011611540","10116115","40","4","0","0","0","0","0","0","1","3.212"
"1011611541","10116115","41","1","10","0","283","1.299","0","0","0","0"
"1011611542","10116115","42","4","0","0","0","0","0","0","1","2.542"
"1011611543","10116115","43","2","0","0","0","0","vo_won","vo_won_10116115_04","0","0"
"1011611544","10116115","44","1","11","0","75","0.717","0","0","0","0"
"1011611545","10116115","45","4","0","0","0","0","0","0","1","1.491"
"1011611546","10116115","46","1","11","75","450","2.868","0","0","0","0"
"1011611547","10116115","47","4","0","0","0","0","0","0","1","3.897"
"1011611548","10116115","48","2","0","0","0","0","vo_won","vo_won_10116115_05","0","0"
"1011611549","10116115","49","1","12","0","120","1.079","0","0","0","0"
"1011611550","10116115","50","4","0","0","0","0","0","0","1","1.453"
"1011611551","10116115","51","1","12","120","450","3.532","0","0","0","0"
"1011611552","10116115","52","4","0","0","0","0","0","0","1","4.032"
"1011611553","10116115","53","2","0","0","0","0","vo_won","vo_won_10116115_06","0","0"
"1011611554","10116115","54","1","13","0","231","2.021","0","0","0","0"
"1011611555","10116115","55","4","0","0","0","0","0","0","1","2.845"
"1011611556","10116115","56","2","0","0","0","0","vo_won","vo_won_10116115_07","0","0"
"1011611557","10116115","57","1","13","231","450","2.861","0","0","0","0"
"1011611558","10116115","58","4","0","0","0","0","0","0","1","2.861"
"1011611559","10116115","59","1","14","0","142","0.982","0","0","0","0"
"1011611560","10116115","60","4","0","0","0","0","0","0","1","1.563"
"1011611561","10116115","61","1","14","142","450","1.916","0","0","0","0"
"1011612501","10116125","1","4","0","0","0","0","0","0","1","0.8"
"1011612502","10116125","2","2","0","0","0","0","vo_won","vo_won_10116125_01","0","0"
"1011612503","10116125","3","1","1","0","258","2.458","0","0","0","0"
"1011612504","10116125","4","4","0","0","0","0","0","0","1","3.21"
