36d801546e6f6f1dbe25abb51582bcde64c5642c83d3b644f004eddcf2702c8e,4ee84f0176d106b9db8df7e6311cf28d8dfdc1a90089ce329332e183bcb1e873,08c7f5f1e0b86e98f6123013e58bee1123e6cf3ea97759e84c32c27dae45bcaf,8cb3489cf4af9a6a6527d0fa17c18f1d224195ba8165de6b4a903e12bf41c4b1,5f339658bebdb5e813fafc35ea7b09c7435682704b5907ee16ab8b6a20c8f75c,7d4970e486a02f26f82ef7c5bbd0c23ad01dc43ff6304f5bacea01b6c67f0807,6a99adee5b6108cbf8a20a667b5ec70180833d7cfa43e36a4139653a79b47392,7a9436373d37fba3e5dd315cdf69d692f33133165d7a1681bfdaeeb2bbf9bbc5,463ac47dda32478cc607a2a0d53b719d3bda73bc757432dda7c073f0aa8d4dbf,e226d129196c20cf07446dcbe5d43385772c5dc8ecd9feaae4cb4657ee1d38c0,2a180836439c625391f91c80df92006130583505e34bb0684f2688dbb214740c,9ef04c9282bc97750a7c67d57e8276123c00038c240b85a466b6548f265b5242,de878b6ef1c9d53b30b9b8f339f35ff95965cf6fc538dd6029bff94f393e025b,c671ae0004f0866b9e382886b1408a2dee18fb1626ee02dad8e38e3576fd44ba
"24015","24","110501","4","카오리(여름)","아우~ 참 안됐다~\n마지문에게 영혼을 뺏겼나~?","1","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","4","10021"
"24016","24","110501","4","카오리(여름)","오늘은 춤 동작도 안 좋아~ \n여주처럼 생긴 열매 먹고 힘내자~!","2","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","4","1","10021"
"24017","24","110501","4","카오리(여름)","마지문이 너무 많아서 눈이 돌아갈 것 같아~! \n어질어질해~!","3","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","4","10021"
"24018","24","110501","1","카오리(여름)","어떻게든 되겠지, 어떻게든 될 거야 \n다음에 잘하면 돼~! 바다에서 수영하고 기분전환하자~!!","4","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","5.2","2","10021"
"24019","24","110501","5","카오리(여름)","창피한 모습을 \n보여버렸네~\n수영복? 수영복은 상관없는데?","5","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","4.2","6","10021"
"24020","24","110501","2","카오리(여름)","컨디션 좋아~! 이대로 \n바다의 평화를 되돌리자~! \n즐거운 여름이 기다리고 있다구~!","6","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","2","10021"
"24021","24","110501","1","카오리(여름)","몇 마리가 덤비든 \n난 마부이를 떨어뜨리지 않을 거야~! 에취! 어라…… 지금 재채기로 떨어졌을지도~?","7","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","6.4","6","10021"
"24022","24","110501","2","카오리(여름)","히~야~사~사♪ \n싸운 후에는 춤을 추면 기분전환이 돼~!","8","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","2","10021"
"24023","24","110501","6","카오리(여름)","어라~? 싸우는 사이에 \n수영복이 사라졌어~? \n거기 너, 어디서 보지 않았어~? \n왜 도망가는 거야~?","9","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","10.08","3","10021"
"24024","24","110501","1","카오리(여름)","나는 아직도 기운이 넘쳐~! \n마지문이든 뭐든 \n다 덤비라구~♪","10","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","5","2","10021"
"24025","24","110501","2","카오리(여름)","내 공수도는 세계 최강이야~! \n여름 햇빛이랑 파란 바다도 함께라면 \n나한테 적 따위 없다구~!","11","2019/07/31 12:00:00","2030/12/17 14:59:59","0","0","0","2","10021"
