f7cf57ec350a7b88d393c98ea550f2940a5c7d5361d7b1d405348df2de7c4a33,de5e683d773064d6999f664b5f460eb7a8b140c277314689458220c32cb3333c,13a615b6571426f7991ad90639047cc072021621e516d3f66aacb0991977ea0a,4df9e4e1ec9174fbfe96ef737ec363dec43ed2c09f860add296a64a55792de8a,e7cdb47feff9feec716f3849d5d88d9f12242753e840093fb4177c2202663f86,659c44e22caaa91c55456c9b89eb0ffabe3d7dc5db0ee27779e3703d0fb0a61e
"1101","20025","0","1","0","1"
"1102","20025","0","1","0","1"
"1103","20025","5042002","1","1","0"
"1104","20025","0","1","0","1"
"1105","20025","5042003","1","1","0"
"1106","20025","0","1","0","1"
"1107","20025","5042005","1","2","0"
"1201","20025","5042007","2","1","0"
"1202","20025","5042007","2","2","0"
"1203","20025","0","2","0","1"
"1204","20025","0","2","0","1"
"1301","20025","0","1","0","0"
