ca20eed906c4c5affc9b2238b86685a582f85a4850b0abeb45301878f75e9096,eff72752b0856253b1342fba97b59e465e62059070f2bb2bc1fa8ec5b0c268af,21669cb60fd00ac1e730f5d8544d89ad9832fc82c44fa45863e3d027c67131f1,89232df2db37652ec69dbedf0b257853b59b6397cb8d53da1f9eee620b9b6565
"10000","1st Anniversary 스페셜 로그인 보너스","2020/2/15 5:00:00","2020/3/1 4:59:59"
"10001","여름맞이 스페셜 로그인 보너스","2020/5/28 5:00:00","2020/6/7 4:59:59"
"10002","1.5 Year Anniversary 스페셜 로그인 보너스","2020/9/14 5:00:00","2020/10/1 4:59:59"
"10003","2nd Anniversary 스페셜 로그인 보너스","2021/3/16 5:00:00","2021/3/31 4:59:59"
"10004","2.5 Year Anniversary 스페셜 로그인 보너스","2021/9/16 5:00:00","2021/10/3 4:59:59"
"10005","3rd Anniversary 스페셜 로그인 보너스","2022/3/15 5:00:00","2022/3/29 4:59:59"
"10006","3.5 Year Anniversary 스페셜 로그인 보너스","2022/09/13 5:00:00","2022/9/30 4:59:59"
"10007","4th Anniversary 스페셜 로그인 보너스","2023/3/16 5:00:00","2023/3/30 4:59:59"
"10008","4.5 Year Anniversary 스페셜 로그인 보너스","2023/9/14 5:00:00","2023/10/1 4:59:59"
"10009","5th Anniversary 스페셜 로그인 보너스","2024/3/14 5:00:00","2024/3/28 4:59:59"
"10010","5.5 Year Anniversary 스페셜 로그인 보너스","2024/9/11 5:00:00","2024/9/28 4:59:59"
"10011","6th Anniversary 스페셜 로그인 보너스","2025/3/13 5:00:00","2025/3/28 4:59:59"
