ee3a93febaa8aa57c910e977d6af0a80d6f5025b56ec6c40a2f20f5f3b78f459,39797376174ed18a533489289a42f7fa24c3902e8ee8f44201a5009a7c8d75d8,16b6293738b17fc1b2582ac75fd52cc0d21e6406ad3312e4c0f634dec82c7752,d28c00cac380f62583f80360cbeb22ba7266328fb2e5a1c3ce456b73ac57524e,81d92a1fa0ca1d128b7c564cb932ce2e6da32a2759550d768b0eee347fcb1b54,6689a8f9b69b99ba222494c3467a0840b38152c2efd7f77fa1e164cc9b5928bb,e1643d3e6d63d693d35776a983ca567bbecf79e42bc882587f020d9a7892219e,ad7c9ef7dd69a1873321b0b14de715fcbc4b235925e862928661da0c4a5c209b,e26ef6f5b99a09bef437666a43d8d00e0e3c58f736cc6942f70ea1915891f1d0,91ba8f97fdeeed56c498f6f86721b582dd5bc7d67a4fd301732b2f9971203c76,5b7d9b6c7740f67d352c40947c4b85518540e85b17575447ab65b7d28c899af5
"1","285001001","8","91002","10","2","25021","8","2","25015","31"
"2","285001002","8","91002","10","2","25021","8","2","25015","31"
"3","285001003","8","91002","10","2","25021","8","2","25015","32"
"4","285001004","8","91002","10","2","25021","8","2","25015","32"
"5","285001005","8","91002","10","2","25021","8","2","25015","33"
"6","285001006","8","91002","10","2","25021","9","2","25015","33"
"7","285001007","8","91002","10","2","25021","9","2","25015","34"
"8","285001008","8","91002","10","2","25021","9","2","25015","35"
"9","285001009","8","91002","10","2","25021","9","2","25015","35"
"10","285001010","8","91002","30","2","25021","10","2","25015","37"
"11","285001011","8","91002","10","2","25021","10","2","25015","41"
"12","285001012","8","91002","10","2","25021","11","2","25015","43"
"13","285001013","8","91002","10","2","25021","11","2","25015","46"
"14","285001014","8","91002","10","2","25021","12","2","25015","48"
"15","285001015","8","91002","10","2","25021","12","2","25015","50"
"16","285001016","8","91002","10","2","25021","13","2","25015","53"
"17","285001017","8","91002","10","2","25021","14","2","25015","55"
"18","285001018","8","91002","10","2","25021","14","2","25015","58"
"19","285001019","8","91002","10","2","25021","15","2","25015","60"
"20","285001020","8","91002","30","2","25021","15","2","25015","62"
"21","285001021","8","91002","10","2","25021","16","2","25015","68"
"22","285001022","8","91002","10","2","25021","16","2","25015","70"
"23","285001023","8","91002","10","2","25021","16","2","25015","72"
"24","285001024","8","91002","10","2","25021","17","2","25015","75"
"25","285001025","8","91002","10","2","25021","18","2","25015","77"
"26","285001026","8","91002","10","2","25021","18","2","25015","79"
"27","285001027","8","91002","10","2","25021","19","2","25015","82"
"28","285001028","8","91002","10","2","25021","19","2","25015","84"
"29","285001029","8","91002","10","2","25021","19","2","25015","86"
"30","285001030","8","91002","30","2","25021","20","2","25015","89"
