448684dae7ded0b0fc0d235dba40ce4eea131204db3735498ce342aabcf9ae81,6432219f9578ab1b27c56f7e9697bc5f92fa29153b95e04fddc39a9beca0a341,fc063d3899959f0b9f37a5aaa83cb38515470ad22bd35c9836f8ec79b0d8a626,f80d8f3b21ab02f15d9cbc11b498f098d6ecd1a9d8a904aaae6f5c1f130e3051,93e4e456378ffd59a16a531629442c1d0206abac3914b8a2212a121e1cd01f17,1d15d79235ced5cd548bdb832c5459bc3fac3722a89dd5348f3d8eeec1084932,2253b7a699dfb0aa460c7c2ca78f5ba4ac8877fd8218922850f2bf15037a21b8
"1","요리 입수 이벤트","1","3","0","0","0"
"2","주사위 입수 이벤트1","2","1","0","0","0"
"3","주사위 입수 이벤트2","2","2","0","0","0"
"4","턴 수 카운트 스킵","3","0","1","0","3"
"5","마일+100%","4","100","0","1","2"
"6","미니 게임 마일+100%","5","100","0","1","2"
"7","상점 할인 이벤트","6","300","0","1","3"
"98001","턴 수 카운트 스킵1","3","0","2","0","3"
"98011","턴 수 카운트 스킵1","3","0","1","0","3"
"98012","턴 수 카운트 스킵2","3","0","2","0","3"
