id,name,constrain_group,condition_type_1,condition_type_2,condition_type_3,condition_value_1,condition_value_2,condition_value_3
"1","유일무이한","0","1","2","3","1","1","1"
"2","완전무결한","0","1","2","3","1","1","1"
"3","랜드솔 최고속의","1","1","2","3","1","1","1"
"4","명경지수의","0","1","2","3","1","1","1"
"5","사상 최고속의","0","1","2","3","1","1","1"
"6","최강 최고속의","0","1","2","3","1","1","1"
"7","얼티메이트","2","1","2","3","1","1","1"
"8","백 점 만점","0","1","2","3","1","1","1"
"9","최우수","0","1","2","3","1","1","1"
"10","일기당천의","0","1","2","3","1","1","1"
"11","유일무이한","0","1","2","3","1","1","1"
"12","천하무쌍의","0","1","2","3","1","1","1"
"13","태연자약의","0","1","2","3","1","1","0"
"14","하이퍼","0","1","2","3","1","1","0"
"15","광속의","0","1","2","3","1","1","0"
"16","희대의","0","1","2","3","1","1","0"
"17","극한의","0","1","2","3","1","1","0"
"18","지고의","0","1","2","3","1","1","0"
"19","빛나는","0","1","2","3","1","1","0"
"20","백전 연마의","0","1","2","3","1","1","0"
"21","질풍신뢰의","0","1","2","3","1","1","0"
"22","전광석화의","0","1","2","3","1","1","0"
"23","변환 자재의","0","1","2","3","1","0","1"
"24","공전절후의","0","1","2","3","1","0","1"
"25","리프리젠","0","1","2","3","1","0","1"
"26","음속의","0","1","2","3","1","0","1"
"27","상식 밖의","0","1","2","3","1","0","1"
"28","사자분신의","0","1","2","3","1","0","1"
"29","용맹 과감한","2","1","2","3","1","0","1"
"30","위풍당당한","2","1","2","3","1","0","1"
"31","급할수록 돌아가라","0","1","2","3","1","0","1"
"32","무념무상","0","1","2","3","1","0","1"
"33","꿈꾸는","0","1","2","3","1","0","0"
"34","나이스","0","1","2","3","1","0","0"
"35","고만고만한","0","1","2","3","1","0","0"
"36","새잎 마크","2","1","2","3","1","0","0"
"37","미래 있는","0","1","2","3","1","0","0"
"38","신참","0","1","2","3","1","0","0"
"39","신출내기","0","1","2","3","1","0","0"
"40","느릿느릿","0","1","2","3","1","0","0"
"41","신진기예의","0","1","2","3","1","0","0"
"42","확고부동의","0","1","2","3","1","0","0"
"43","칠전팔기의","0","1","2","3","1","0","0"
"44","힘내","0","1","2","3","1","0","0"
"45","선택된","0","1","2","3","2","1","1"
"46","얼티메이트","2","1","2","3","2","1","1"
"47","오션 블루","1","1","2","3","2","1","1"
"48","바다에 사랑받는","2","1","2","3","2","1","1"
"49","대해를 통치하는","2","1","2","3","2","1","1"
"50","전설의","0","1","2","3","2","1","1"
"51","세계를 뒤흔드는","2","1","2","3","2","1","1"
"52","슈퍼 와일드","1","1","2","3","2","1","1"
"53","신들린","0","1","2","3","2","1","1"
"54","크게 차이 나는","2","1","2","3","2","1","1"
"55","누구도 막을 수 없는","1","1","2","3","2","1","0"
"56","피가 끓고 힘이 넘치는","2","1","2","3","2","1","0"
"57","메가","0","1","2","3","2","1","0"
"58","내추럴 본","1","1","2","3","2","1","0"
"59","대해원의","0","1","2","3","2","1","0"
"60","아드레날린 전개인","1","1","2","3","2","1","0"
"61","오마산","0","1","2","3","2","1","0"
"62","숙련된","0","1","2","3","2","1","0"
"63","역전의","0","1","2","3","2","1","0"
"64","물을 얻은","0","1","2","3","2","1","0"
"65","초특급인","0","1","2","3","2","1","0"
"66","여간내기가 아닌","2","1","2","3","2","0","1"
"67","용맹한","0","1","2","3","2","0","1"
"68","오로지 달리는","0","1","2","3","2","0","1"
"69","눈에도 안 보이는","2","1","2","3","2","0","1"
"70","거센 파도의","0","1","2","3","2","0","1"
"71","레이지 오브","0","1","2","3","2","0","1"
"72","승부욕 강한","2","1","2","3","2","0","1"
"73","한창 클 때인","0","1","2","3","2","0","1"
"74","파격적인","0","1","2","3","2","0","1"
"75","날뛰는","0","1","2","3","2","0","1"
"76","미쳐 날뛰는","0","1","2","3","2","0","1"
"77","소문의","0","1","2","3","2","0","0"
"78","해변가의","2","1","2","3","2","0","0"
"79","원기 발랄","2","1","2","3","2","0","0"
"80","한여름을 달리는","2","1","2","3","2","0","0"
"81","근육","0","1","2","3","2","0","0"
"82","금물결 은물결","0","1","2","3","2","0","0"
"83","태생적인","2","1","2","3","2","0","0"
"84","시끄러운","0","1","2","3","2","0","0"
"85","미지수인","0","1","2","3","2","0","0"
"86","완전 대박","0","1","2","3","2","0","0"
"87","지지 마","0","1","2","3","2","0","0"
"88","라스트 스피드","2","1","2","3","3","1","1"
"89","프로페셔널","1","1","2","3","3","1","1"
"90","톱 오브","0","1","2","3","3","1","1"
"91","골드 메달","2","1","2","3","3","1","1"
"92","얼티메이트","2","1","2","3","3","1","1"
"93","더 베스트","0","1","2","3","3","1","1"
"94","퍼펙트","2","1","2","3","3","1","1"
"95","100년에 1명 있는","1","1","2","3","3","1","1"
"96","레전더리","2","1","2","3","3","1","1"
"97","초일류의","0","1","2","3","3","1","1"
"98","세계의","0","1","2","3","3","1","1"
"99","선택된","0","1","2","3","3","1","1"
"100","애슬레틱","2","1","2","3","3","1","0"
"101","위대한","0","1","2","3","3","1","0"
"102","슈퍼 소닉","1","1","2","3","3","1","0"
"103","울트라","0","1","2","3","3","1","0"
"104","MVP","0","1","2","3","3","1","0"
"105","제너럴","0","1","2","3","3","1","0"
"106","올라운드","2","1","2","3","3","1","0"
"107","실버 메달","2","1","2","3","3","1","0"
"108","성스러운","0","1","2","3","3","1","0"
"109","엑설런트","2","1","2","3","3","1","0"
"110","일류","0","1","2","3","3","1","0"
"111","마블러스","0","1","2","3","3","1","0"
"112","슈퍼","0","1","2","3","3","0","1"
"113","플라잉","0","1","2","3","3","0","1"
"114","그레이트","0","1","2","3","3","0","1"
"115","언스토퍼블","1","1","2","3","3","0","1"
"116","카리스마","0","1","2","3","3","0","1"
"117","만능","0","1","2","3","3","0","1"
"118","신세대","0","1","2","3","3","0","1"
"119","명예로운","0","1","2","3","3","0","1"
"120","이채를 띠는","0","1","2","3","3","0","1"
"121","숨은 실력의","0","1","2","3","3","0","1"
"122","천하의","0","1","2","3","3","0","1"
"123","렛츠 고","0","1","2","3","3","0","0"
"124","굿","0","1","2","3","3","0","0"
"125","홉 스텝","1","1","2","3","3","0","0"
"126","가능성 있는","2","1","2","3","3","0","0"
"127","브론즈 메달","2","1","2","3","3","0","0"
"128","기대되는","0","1","2","3","3","0","0"
"129","점핑","2","1","2","3","3","0","0"
"130","새 시대의","0","1","2","3","3","0","0"
"131","아는 사람은 아는","2","1","2","3","3","0","0"
