1e431fe99ed9369ae9120e37c9a4fe594b3432c45b13d21de1b4c8ac05d71574,6af68a12de37ba43720868899e9f8e99224670950584fada9ba8ffec01574c2c,eb0c57d1db413ebbe9e3c746ad458195892da833c011f417b36211b92cd12364,ca03b9db7c24060706a064f2120d287c128c8fc58d189a528a28dc9ad16326b7
"81001001","99999999","0","81001002"
"81001002","99999999","0","81001003"
"81001003","99999999","0","81001004"
"81001004","99999999","0","81001005"
"81001005","99999999","0","81001006"
"81001006","99999999","0","81001007"
"81001007","99999999","0","81001008"
"81001008","99999999","0","81001009"
"81001009","99999999","0","81001010"
"81001010","99999999","0","81001011"
"81001011","99999999","0","81001012"
"81001012","99999999","0","81001013"
"81001013","99999999","0","81001014"
"81001014","99999999","0","81001015"
"81001015","99999999","0","81001016"
"81001016","99999999","0","81001017"
"81001017","99999999","0","81001018"
"81001018","99999999","0","81001019"
"81001019","99999999","0","81001020"
"81001020","99999999","0","81001021"
"81001021","99999999","0","81001022"
"81001022","99999999","0","81001023"
"81001023","99999999","0","81001024"
"81001024","99999999","0","81001025"
"81001025","99999999","0","81001026"
"81001026","99999999","0","81001027"
"81001027","99999999","0","81001028"
"81001028","99999999","0","81001029"
"81001029","99999999","0","81001030"
"81001030","99999999","0","0"
"82001001","99999999","0","82001002"
"82001002","99999999","0","82001003"
"82001003","99999999","0","82001004"
"82001004","99999999","0","82001005"
"82001005","99999999","0","82001006"
"82001006","99999999","0","82001007"
"82001007","99999999","0","82001008"
"82001008","99999999","0","82001009"
"82001009","99999999","0","82001010"
"82001010","99999999","0","82001011"
"82001011","99999999","0","82001012"
"82001012","99999999","0","82001013"
"82001013","99999999","0","82001014"
"82001014","99999999","0","82001015"
"82001015","99999999","0","82001016"
"82001016","99999999","0","82001017"
"82001017","99999999","0","82001018"
"82001018","99999999","0","82001019"
"82001019","99999999","0","82001020"
"82001020","99999999","0","82001021"
"82001021","99999999","0","82001022"
"82001022","99999999","0","82001023"
"82001023","99999999","0","82001024"
"82001024","99999999","0","82001025"
"82001025","99999999","0","82001026"
"82001026","99999999","0","82001027"
"82001027","99999999","0","82001028"
"82001028","99999999","0","82001029"
"82001029","99999999","0","82001030"
"82001030","99999999","0","0"
"83001001","99999999","0","83001002"
"83001002","99999999","0","83001003"
"83001003","99999999","0","83001004"
"83001004","99999999","0","83001005"
"83001005","99999999","0","83001006"
"83001006","99999999","0","83001007"
"83001007","99999999","0","83001008"
"83001008","99999999","0","83001009"
"83001009","99999999","0","83001010"
"83001010","99999999","0","83001011"
"83001011","99999999","0","83001012"
"83001012","99999999","0","83001013"
"83001013","99999999","0","83001014"
"83001014","99999999","0","83001015"
"83001015","99999999","0","83001016"
"83001016","99999999","0","83001017"
"83001017","99999999","0","83001018"
"83001018","99999999","0","83001019"
"83001019","99999999","0","83001020"
"83001020","99999999","0","83001021"
"83001021","99999999","0","83001022"
"83001022","99999999","0","83001023"
"83001023","99999999","0","83001024"
"83001024","99999999","0","83001025"
"83001025","99999999","0","83001026"
"83001026","99999999","0","83001027"
"83001027","99999999","0","83001028"
"83001028","99999999","0","83001029"
"83001029","99999999","0","83001030"
"83001030","99999999","0","0"
"84001001","99999999","0","84001002"
"84001002","99999999","0","84001003"
"84001003","99999999","0","84001004"
"84001004","99999999","0","84001005"
"84001005","99999999","0","84001006"
"84001006","99999999","0","84001007"
"84001007","99999999","0","84001008"
"84001008","99999999","0","84001009"
"84001009","99999999","0","84001010"
"84001010","99999999","0","84001011"
"84001011","99999999","0","84001012"
"84001012","99999999","0","84001013"
"84001013","99999999","0","84001014"
"84001014","99999999","0","84001015"
"84001015","99999999","0","84001016"
"84001016","99999999","0","84001017"
"84001017","99999999","0","84001018"
"84001018","99999999","0","84001019"
"84001019","99999999","0","84001020"
"84001020","99999999","0","84001021"
"84001021","99999999","0","84001022"
"84001022","99999999","0","84001023"
"84001023","99999999","0","84001024"
"84001024","99999999","0","84001025"
"84001025","99999999","0","84001026"
"84001026","99999999","0","84001027"
"84001027","99999999","0","84001028"
"84001028","99999999","0","84001029"
"84001029","99999999","0","84001030"
"84001030","99999999","0","0"
"85001001","99999999","0","85001002"
"85001002","99999999","0","85001003"
"85001003","99999999","0","85001004"
"85001004","99999999","0","85001005"
"85001005","99999999","0","85001006"
"85001006","99999999","0","85001007"
"85001007","99999999","0","85001008"
"85001008","99999999","0","85001009"
"85001009","99999999","0","85001010"
"85001010","99999999","0","85001011"
"85001011","99999999","0","85001012"
"85001012","99999999","0","85001013"
"85001013","99999999","0","85001014"
"85001014","99999999","0","85001015"
"85001015","99999999","0","85001016"
"85001016","99999999","0","85001017"
"85001017","99999999","0","85001018"
"85001018","99999999","0","85001019"
"85001019","99999999","0","85001020"
"85001020","99999999","0","85001021"
"85001021","99999999","0","85001022"
"85001022","99999999","0","85001023"
"85001023","99999999","0","85001024"
"85001024","99999999","0","85001025"
"85001025","99999999","0","85001026"
"85001026","99999999","0","85001027"
"85001027","99999999","0","85001028"
"85001028","99999999","0","85001029"
"85001029","99999999","0","85001030"
"85001030","99999999","0","0"
