8babfa6e427c9ba115d49ed0d8be3c143241a58a315850955a91d7668241b817,d94d022cb00df677437cd784f7be71d67b5980e4bc17b606dbf100984f5803e3
"1","HP 강화"
"2","물리 공격력 강화"
"3","물리 방어력 강화"
"4","마법 공격력 강화"
"5","마법 방어력 강화"
"6","물리 크리티컬 강화"
"7","마법 크리티컬 강화"
"8","회피 강화"
"9","HP 흡수 강화"
"10","HP 자동 회복 강화"
"11","TP 자동 회복 강화"
"12","물리 관통 데미지 강화"
"13","마법 관통 데미지 강화"
"14","TP 상승 강화"
"15","회복량 상승 강화"
"16","TP 소비 경감 강화"
"17","명중 강화"
"100","물리 크리티컬 데미지 강화"
"101","마법 크리티컬 데미지 강화"
"102","물리 부여 데미지 강화"
"103","마법 부여 데미지 강화"
"104","속성 보너스 강화"
