ae824303450318d66f3529ceb9e66f85de23abdb37a425b9aeb79c0332299a43,30a431fea16e4c6af08511155872fd046028d5255927f5b4ddc8220c175af594,6938c601f0eed1d18d6d641e88fc78f24ea4b6f4d42a1dfc3322e91ec9d4d2fb,13e4663a3d2f5d6823033faa0018ab6159976dab682354b2943e2202e43a24bf,216d1defec1085004326956dacf71840755a2b2cd2b1fd7b07cef6d6cd4764c0
"1","81001001","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"2","81001001","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"3","81001001","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"4","81001001","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"5","81001001","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"6","81001001","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"7","81001002","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"8","81001002","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"9","81001002","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"10","81001002","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"11","81001002","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"12","81001002","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"13","81001003","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"14","81001003","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"15","81001003","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"16","81001003","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"17","81001003","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"18","81001003","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"19","81001004","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"20","81001004","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"21","81001004","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"22","81001004","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"23","81001004","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"24","81001004","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"25","81001005","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"26","81001005","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"27","81001005","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"28","81001005","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"29","81001005","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"30","81001005","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"31","81001006","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"32","81001006","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"33","81001006","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"34","81001006","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"35","81001006","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"36","81001006","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"37","81001007","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"38","81001007","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"39","81001007","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"40","81001007","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"41","81001007","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"42","81001007","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"43","81001008","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"44","81001008","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"45","81001008","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"46","81001008","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"47","81001008","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"48","81001008","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"49","81001009","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"50","81001009","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"51","81001009","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"52","81001009","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"53","81001009","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"54","81001009","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"55","81001010","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"56","81001010","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"57","81001010","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"58","81001010","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"59","81001010","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"60","81001010","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"61","81001010","boss_tp_down_cut","TP 감소 컷","전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다."
"62","81001010","1","화상 부여","전투 시작 시 모든 캐릭터에게 화상 상태를 부여한다."
"63","81001011","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"64","81001011","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"65","81001011","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"66","81001011","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"67","81001011","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"68","81001011","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"69","81001012","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"70","81001012","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"71","81001012","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"72","81001012","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"73","81001012","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"74","81001012","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"75","81001013","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
