ff29912ddd1130f467dced41aa6201e435d6a4841081a7574e12baafd27e6c42,b821913ac8f63b2a42d45407f1ccf23af6fd764b0228a8488884ef872f8bbfa0
"1","40"
"2","40"
"3","40"
"4","60"
"5","60"
"6","60"
"7","100"
"8","100"
"9","100"
"10","100"
"11","100"
"12","100"
"13","100"
"14","100"
"15","150"
"16","150"
"17","150"
"18","150"
"19","150"
"20","150"
"21","150"
"22","150"
"23","180"
"24","180"
"25","180"
"26","180"
"27","180"
"28","180"
"29","180"
"30","180"
"31","200"
"32","200"
"33","200"
"34","200"
"35","200"
"36","250"
"37","250"
"38","250"
"39","250"
"40","250"
