24da57f7fa4d647bef62e7fc40c8e8ba809f4befc3e2b0a9860e6533b03f7acd,f1d07d6eea1a86f0825103b1be79482bd501a4859bb5b6ceefb2342e6847c52a,cbcbcbe5b0e3ee65236e6d04a607e57c7b7c1db0e2a12e42dfdd65b02de219a6,bc4f4e35ec322884d391011a904c15bdc783309d8c18df88b966355717f1bb29,c3c302dcfe74a27132e82449743df32c3a739df8297f140bfcb94a4cbe0a2f45,4fd27359ed45b796c10a27819dfddc06bac74c188669023cb480e44228c88f0f
"1","자동","1","2020-02-15 15:00:00","","1"
"2","디폴트","2","2020-02-15 15:00:00","","2"
"3","기념","3","2020-02-15 15:00:00","","3"
"4","핑크","1","2020-02-15 15:00:00","","4"
"5","레드","1","2020-02-15 15:00:00","","5"
"6","옐로","1","2020-02-15 15:00:00","","6"
"7","그린","1","2020-02-15 15:00:00","","7"
"8","라이트 블루","1","2020-02-15 15:00:00","","8"
"9","블루","1","2020-02-15 15:00:00","","9"
"10","퍼플","1","2020-02-15 15:00:00","","10"
"11","그레이","1","2020-02-15 15:00:00","","11"
