45788adf38325f62638539dffec156a88213007c80ac86a6fbd98b7b82065265,86cb865e60c6ed6d7ba909130d2b17c292c496ac47c8b03c1363dde475c1f5c0,c0b5e541f409edaa4bd15d3ad3aa83289241bb810ff6f5ed6452ad6331644780,65fa252dd02e5b8974ac125a6e035716bc0af947d933c5385edd07ced29e8fd0,d69dc7fa930be4d6a79edc347c0d246c3ae80476206b70bcea6d235c0fbd3872
"1"," 햇병아리","1","0","26999"
"2"," 미숙자","1","0","26999"
"3"," 치어","1","0","26999"
"4"," 비기너 러너","3","0","26999"
"5"," 아기","1","0","26999"
"6"," 베이비","1","0","26999"
"7"," 잔챙이","1","0","26999"
"8"," 풋내기","1","0","26999"
"9"," 아마추어","1","0","26999"
"10"," 잔고기","1","27000","33999"
"11"," 초심자","1","27000","33999"
"12"," 엔조이 러너","3","27000","33999"
"13"," 애송이","1","27000","33999"
"14"," 루키","1","27000","33999"
"15"," 걸","1","27000","33999"
"16"," 유망주","1","27000","33999"
"17"," 원석","1","27000","33999"
"18"," 뉴 호프","2","27000","33999"
"19"," 탐구자","1","34000","50399"
"20"," 난폭자","1","34000","50399"
"21"," 부산물","1","34000","50399"
"22"," 수재","1","34000","50399"
"23"," 거물","1","34000","50399"
"24"," 기린아","1","34000","50399"
"25"," 호프","1","34000","50399"
"26"," 신성","1","34000","50399"
"27"," 인재","1","34000","50399"
"28"," 머메이드","1","50400","59999"
"29"," 선배","1","50400","59999"
"30"," 중급자","1","50400","59999"
"31"," 비치 플래거","3","50400","59999"
"32"," 물고기","1","50400","59999"
"33"," 치프","1","50400","59999"
"34"," 캡틴","1","50400","59999"
"35"," 어른","1","50400","59999"
"36"," 세미프로","1","50400","59999"
"37"," 대형 신인","1","50400","59999"
"38"," 유성","1","60000","69999"
"39"," 선생님","1","60000","69999"
"40"," 돌핀","1","60000","69999"
"41"," 장인","1","60000","69999"
"42"," 레이서","1","60000","69999"
"43"," 툰누스","1","60000","69999"
"44"," 중지중","1","60000","69999"
"45"," 빅 네임","2","60000","69999"
"46"," 뛰어난 인재","1","60000","69999"
"47"," 엘리트","1","60000","69999"
"48"," 일꾼","1","60000","69999"
"49"," 현인","1","60000","69999"
"50"," 오르카","1","70000","83999"
"51"," 명인","1","70000","83999"
"52"," 마술사","1","70000","83999"
"53"," 스승","1","70000","83999"
"54"," 서브마린","1","70000","83999"
"55"," 스프린터","2","70000","83999"
"56"," 명수","1","70000","83999"
"57"," 에이스 러너","2","70000","83999"
"58"," 프로","1","70000","83999"
"59"," 간판선수","1","70000","83999"
"60"," 일인자","1","70000","83999"
"61"," 돈","1","70000","83999"
"62"," 스피드 스타","2","84000","99999"
"63"," 호걸","1","84000","99999"
"64"," 프린세스","1","84000","99999"
"65"," 여신","1","84000","99999"
"66"," 마스터","1","84000","99999"
"67"," 넘버 원","2","84000","99999"
"68"," 총아","1","84000","99999"
"69"," 와일드 그리핀","3","84000","99999"
"70"," 와이번","1","84000","99999"
"71"," 엑스퍼트","2","84000","99999"
"72"," 톱 러너","2","84000","99999"
"73"," 위타천","1","100000","119999"
"74"," 퀸","1","100000","119999"
"75"," 챔피언","2","100000","119999"
"76"," 천재 러너","2","100000","119999"
"77"," 레코드 홀더","3","100000","119999"
"78"," 극치","1","100000","119999"
"79"," 네프테리온","2","100000","119999"
"80"," 씨 드레이크","2","100000","119999"
"81"," 여걸","1","100000","119999"
"82"," 혁명가","1","100000","119999"
"83"," 빅스타","2","100000","119999"
"84"," 판타지스타","2","120000","999999"
"85"," 슈퍼스타","2","120000","999999"
"86"," 월드 챔프","3","120000","999999"
"87"," 레전드","1","120000","999999"
"88"," 초인","1","120000","999999"
"89"," 토르페돈","1","120000","999999"
"90"," 카르키노스","1","120000","999999"
"91"," 아쿠아 리오스","2","120000","999999"
"92"," 지보","1","120000","999999"
"93"," 그랜드 마스터","3","120000","999999"
"94"," 영웅","1","120000","999999"
"95"," 천하 통일","1","120000","999999"
