c4b348edeae2d8395adcdd017e0ded417041021f26c458c9c107a571bcf0e434,ca79328d97b773dce04fbe3b9bd3863e1f4ee91470da55d1830d6d70db794a5d,d0857a1d421f5db37a5d7a2b0446352cc37fbbdced21de735d28ecd8fef3f203,d673a56043a88cc8a5f1a0403a3d99a78ca9f12821812882c96d53208904fd09,2c3362655cbe4c506245145963a858e8cd7fe05c2c1f4068afb37163b2a799fc,531adccbbf7b93ea6fa0c9bd9fd816495a7a71c3f02e15aa0e91b30fffea593d,9c7f0123b782146bfe4c6efce70276dd72c5d977538122b5274cfc7eb2b4acfc,39b12a0f28021cd746c65ba330ca6e0adcd376697f2dd086e79ef532535b8a92,6dd85a61e2e56ddc1a1cbcaf7d67a9ae49e1dd73a5b8e072f57bac2d8506ebb2,a2ae02f3a1b5156533f9d3510a6f16631c95670f5dfab96b5e2301208f107397,af20f914f74ad262fe25069c7dbdba4e3713b96be39ba05a579bf2e17225d1d6
"1004601","10046","2021/09/01 15:00:00","2021/10/02 14:59:59","이벤트 스페셜 에피소드","이벤트 「미사토 여름 응원! 꿈을 좇는 한여름의 나인」\n스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","5046601","스토리로","1","5046601"
"1004801","10048","2021/10/16 15:00:00","2021/11/01 14:59:59","이벤트 스페셜 에피소드","이벤트 「해피 체인지 엔젤즈」\n엔딩을 보면 특별한 에피소드가 오픈됩니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","0","스토리로","2","5048"
"1004802","10048","2021/10/16 15:00:00","2021/11/01 14:59:59","이벤트 스페셜 에피소드","이벤트 「해피 체인지 엔젤즈」에서\n라피가 보낸 편지가 도착했습니다!","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","0","스토리로","3","5048"
"1005601","10056","2022/02/11 15:00:00","2022/02/28 14:59:59","이벤트 스페셜 에피소드","이벤트 「신춘 미식가 프린세스! 한 방에 건 소녀들」\n스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","5056601","스토리로","4","5056"
"1006101","10061","2022/03/28 15:00:00","2022/04/15 14:59:59","이벤트 스페셜 에피소드","이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","5061601","스토리로","3","5061"
"1006102","10061","2022/04/11 15:00:00","2022/04/15 14:59:59","이벤트 스페셜 에피소드","이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.","","5061602","스토리로","5","10061"
"1006103","10061","2022/04/15 15:00:00","2022/04/28 14:59:59","이벤트 스페셜 에피소드","이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","5061601","스토리로","3","5061"
"1006601","10066","2022/05/30 15:00:00","2022/06/30 14:59:59","미니 게임 스토리 오픈","미니 게임 「대격전! 끝말잇기 드래곤즈」\n에서 새로운 스토리가 오픈되었습니다","열람하기 위해서는 「모두의 게임 테이블」에서\n「대격전! 끝말잇기 드래곤즈」를 구입해\nEXTRA를 플레이해야 합니다","5027704","스토리로","6","1004"
"1007001","10070","2022/08/12 15:00:00","2022/08/16 14:59:59","이오의 코멘트 추가","「여름방학 그림일기」에\n이오 선생님의 첨삭 코멘트가 추가됐습니다.","「여름방학 그림일기」 표지를 교체하면\n첨삭 코멘트를 보실 수 있습니다.","5070601","이벤트로","5","10070"
"1007301","10073","2022/09/17 15:00:00","2022/09/29 14:59:59","이벤트 스페셜 에피소드","이벤트 「미사토 여름 응원! 꿈을 좇는 한여름의 나인」\n스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","5046601","스토리로","1","5046601"
