b017bce9312341e9187b1840fd0081c88df54a7e42e3f5b3b1db1554a2019c7d,df552d91f6d1d75b53f64ace9496683a35db1e107f115ad84cfb18b38972e7b9,54c201c66cf0e234508421c85918b4aa7c4661d7c16b1b03bf988f2894eeffc7,25706c46572c0e1cc55d8d6b04d61422daafcc896eea6b6f672450729583f1f3
"1","ＨＰ","1","10000"
"2","물리 공격력","1","10000"
"3","물리 방어력","1","10000"
"4","마법 공격력","1","10000"
"5","마법 방어력","1","10000"
"6","물리 크리티컬","1","10000"
"7","마법 크리티컬","1","10000"
"8","회피","0","1"
"9","HP 흡수","0","1"
"10","HP 자동 회복","0","1"
"11","TP 자동 회복","0","1"
"12","물리 관통 데미지","0","1"
"13","마법 관통 데미지","0","1"
"14","TP 상승","0","1"
"15","회복량 상승","0","1"
"16","TP 소비 경감","0","1"
"17","명중","0","1"
"100","물리 크리티컬 데미지","1","100"
"101","마법 크리티컬 데미지","1","100"
"102","물리 부여 데미지","1","100"
"103","마법 부여 데미지","1","100"
"104","속성 보너스","1","10000"
