d7b383a51bf9ac283133a151907f848122bf8cb1d54e07fe7983e851ab6803a4,b3985c7debd8536d30ec24702adfd328b3a4ff9617d0480a44310d84b71c1ee8,2aba2699aaeff30948058e4f55654da9b44b5138536aaa081743cb9bca6a7315,0e2fb40029d02aaa435f164051ed64cd7f20e59d016dbf14f7d3296dd2326dcc,8ffb08dfe646d5718ac40e52346cddd25398fce7860f4dfa1e65d66a11c82284,bb171d8a106ec0e8b66df53097eacf8a9b6690c004b45569e0b5f842fbc1970e,c08484b0dbb079f17662932d054593023b9bc56a8ee4047691033eda9df194ce,277c6b5943b0b7460271bbd3a7dc11add90c49f08c7889f93110e65462aecf47
"1005","2","1005","0","1005","0","TP 250 증가","배틀 시작 시 아군의 TP가 250 증가"
"1006","2","1006","0","1006","0","TP 250 증가","배틀 시작 시 아군의 TP가 250 증가"
"1007","2","1007","0","1007","0","TP 250 증가","배틀 시작 시 아군의 TP가 250 증가"
"1008","2","1008","0","1008","0","TP 250 증가","배틀 시작 시 아군의 TP가 250 증가"
"100501","1","1005","1561700000000","100501","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100502","1","1005","1497300000000","100502","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100503","1","1005","1449000000000","100503","36000","물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소"
"100504","1","1005","1400700000000","100504","36000","마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소"
"100505","1","1005","1352400000000","100505","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100506","1","1005","1288000000000","100506","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100507","1","1005","1239700000000","100507","36000","물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소"
"100508","1","1005","1191400000000","100508","36000","마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소"
"100509","1","1005","1127000000000","100509","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100510","1","1005","1078700000000","100510","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100511","1","1005","1030400000000","100511","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100512","1","1005","966000000000","100512","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100513","1","1005","917700000000","100513","36000","물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소"
"100514","1","1005","869400000000","100514","36000","마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소"
"100515","1","1005","821100000000","100515","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100516","1","1005","756700000000","100516","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100517","1","1005","708400000000","100517","36000","물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소"
"100518","1","1005","660100000000","100518","36000","마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소"
"100519","1","1005","595700000000","100519","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100520","1","1005","547400000000","100520","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
"100521","1","1005","499100000000","100521","36000","물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소"
